sample,source_group,display_group,partition,submitted_trace_label,n_cells,pct_of_animal
C1,Control,Oxygen control,0,Inflammatory,176,15.520282186948853
C1,Control,Oxygen control,1,Transitional-A,205,18.077601410934744
C1,Control,Oxygen control,2,Homeostatic-A,206,18.1657848324515
C1,Control,Oxygen control,3,Homeostatic-B,206,18.1657848324515
C1,Control,Oxygen control,4,Homeostatic-C,252,22.22222222222222
C1,Control,Oxygen control,5,Transitional-B,89,7.848324514991182
C2,Control,Oxygen control,0,Inflammatory,323,35.30054644808743
C2,Control,Oxygen control,1,Transitional-A,102,11.147540983606556
C2,Control,Oxygen control,2,Homeostatic-A,207,22.62295081967213
C2,Control,Oxygen control,3,Homeostatic-B,98,10.710382513661202
C2,Control,Oxygen control,4,Homeostatic-C,92,10.05464480874317
C2,Control,Oxygen control,5,Transitional-B,93,10.163934426229508
C3,Control,Oxygen control,0,Inflammatory,210,16.522423288749017
C3,Control,Oxygen control,1,Transitional-A,192,15.106215578284814
C3,Control,Oxygen control,2,Homeostatic-A,228,17.938630999213217
C3,Control,Oxygen control,3,Homeostatic-B,258,20.298977183320225
C3,Control,Oxygen control,4,Homeostatic-C,249,19.59087332808812
C3,Control,Oxygen control,5,Transitional-B,134,10.54287962234461
S1,Surgery,Combined exposure,0,Inflammatory,254,19.523443504996155
S1,Surgery,Combined exposure,1,Transitional-A,287,22.05995388162951
S1,Surgery,Combined exposure,2,Homeostatic-A,263,20.2152190622598
S1,Surgery,Combined exposure,3,Homeostatic-B,257,19.754035357417372
S1,Surgery,Combined exposure,4,Homeostatic-C,167,12.836279784780938
S1,Surgery,Combined exposure,5,Transitional-B,73,5.611068408916219
S2,Surgery,Combined exposure,0,Inflammatory,208,13.008130081300813
S2,Surgery,Combined exposure,1,Transitional-A,455,28.45528455284553
S2,Surgery,Combined exposure,2,Homeostatic-A,99,6.191369606003752
S2,Surgery,Combined exposure,3,Homeostatic-B,275,17.19824890556598
S2,Surgery,Combined exposure,4,Homeostatic-C,432,27.01688555347092
S2,Surgery,Combined exposure,5,Transitional-B,130,8.130081300813009
S3,Surgery,Combined exposure,0,Inflammatory,479,41.76111595466434
S3,Surgery,Combined exposure,1,Transitional-A,140,12.205754141238012
S3,Surgery,Combined exposure,2,Homeostatic-A,282,24.585876198779424
S3,Surgery,Combined exposure,3,Homeostatic-B,130,11.333914559721013
S3,Surgery,Combined exposure,4,Homeostatic-C,17,1.4821272885789014
S3,Surgery,Combined exposure,5,Transitional-B,99,8.63121185701831
