sample,source_group,display_group,gene,gene_order,gene_umi,total_retained_umi,log2_cpm
C1,Control,Oxygen control,Irf7,1,46,8028456,2.5340360702335487
C2,Control,Oxygen control,Irf7,1,38,6174562,2.640449506028748
C3,Control,Oxygen control,Irf7,1,52,9706204,2.4353381867871584
S1,Surgery,Combined exposure,Irf7,1,109,10096172,3.439050428192785
S2,Surgery,Combined exposure,Irf7,1,59,12003647,2.309416749944902
S3,Surgery,Combined exposure,Irf7,1,436,11252901,5.277612644089977
C1,Control,Oxygen control,Ifitm3,2,112,8028456,3.8086584503425542
C2,Control,Oxygen control,Ifitm3,2,203,6174562,5.042547949600094
C3,Control,Oxygen control,Ifitm3,2,222,9706204,4.518754194974796
S1,Surgery,Combined exposure,Ifitm3,2,261,10096172,4.694930504838553
S2,Surgery,Combined exposure,Ifitm3,2,187,12003647,3.965345772020202
S3,Surgery,Combined exposure,Ifitm3,2,1896,11252901,7.396898456754775
C1,Control,Oxygen control,Isg15,3,123,8028456,3.943244490710195
C2,Control,Oxygen control,Isg15,3,151,6174562,4.616836948806798
C3,Control,Oxygen control,Isg15,3,243,9706204,4.648870631203378
S1,Surgery,Combined exposure,Isg15,3,225,10096172,4.481246991846993
S2,Surgery,Combined exposure,Isg15,3,230,12003647,4.263221927066296
S3,Surgery,Combined exposure,Isg15,3,885,11252901,6.298123297212452
C1,Control,Oxygen control,Mx1,4,12,8028456,0.6387334489002422
C2,Control,Oxygen control,Mx1,4,6,6174562,0.07410268347493891
C3,Control,Oxygen control,Mx1,4,20,9706204,1.078644673739119
S1,Surgery,Combined exposure,Mx1,4,36,10096172,1.8540879274716289
S2,Surgery,Combined exposure,Mx1,4,30,12003647,1.3453363241998448
S3,Surgery,Combined exposure,Mx1,4,72,11252901,2.6876838904754723
C1,Control,Oxygen control,Ifit1,5,10,8028456,0.3871946819042778
C2,Control,Oxygen control,Ifit1,5,4,6174562,-0.45641203322384094
C3,Control,Oxygen control,Ifit1,5,22,9706204,1.2129457654507103
S1,Surgery,Combined exposure,Ifit1,5,36,10096172,1.8540879274716289
S2,Surgery,Combined exposure,Ifit1,5,14,12003647,0.2725799817645306
S3,Surgery,Combined exposure,Ifit1,5,103,11252901,3.2012617579598626
C1,Control,Oxygen control,Ifit2,6,20,8028456,1.352429263743601
C2,Control,Oxygen control,Ifit2,6,12,6174562,1.0175191551085714
C3,Control,Oxygen control,Ifit2,6,17,9706204,0.8503756860660021
S1,Surgery,Combined exposure,Ifit2,6,57,10096172,2.5097534195359867
S2,Surgery,Combined exposure,Ifit2,6,45,12003647,1.922393626835655
S3,Surgery,Combined exposure,Ifit2,6,66,11252901,2.563057235961727
C1,Control,Oxygen control,Ifit3,7,64,8028456,3.0061045145487717
C2,Control,Oxygen control,Ifit3,7,29,6174562,2.256306014695688
C3,Control,Oxygen control,Ifit3,7,68,9706204,2.8191247520815623
S1,Surgery,Combined exposure,Ifit3,7,73,10096172,2.863935713427976
S2,Surgery,Combined exposure,Ifit3,7,83,12003647,2.798303279111011
S3,Surgery,Combined exposure,Ifit3,7,328,11252901,4.867524360782867
