"nominal_p_rank","ensembl_id","symbol","raw_umi_C1","raw_umi_C2","raw_umi_C3","raw_umi_S1","raw_umi_S2","raw_umi_S3","base_mean","log2_fold_change","lfc_se","ci95_low","ci95_high","wald_statistic","nominal_p_value","bh_adjusted_p_value","bh_fdr_lt_0_05","effect_direction","n_leave_one_animal_out_fdr_lt_0_05","n_leave_one_animal_out_fdr_lt_0_05_same_direction","fdr_lt_0_05_in_all_six_leave_one_animal_out_fits"
1,"ENSMUSG00000036181","H1f2",2317,1233,2034,1165,1460,1106,1611.94061104694,-1.15639351818256,0.153640494049743,-1.45752888652006,-0.855258149845065,-7.52661936773104,5.20708772383511e-14,2.04652906566782e-10,TRUE,"More positive in oxygen control",6,6,TRUE
2,"ENSMUSG00000061808","Ttr",3893,2611,7248,106,315,461,2762.53428631985,-4.47733121120913,0.596628519831143,-5.64672311007817,-3.3079393123401,-7.50438683768638,6.17167993265327e-14,2.04652906566782e-10,TRUE,"More positive in oxygen control",6,6,TRUE
3,"ENSMUSG00000026051","Ecrg4",45,42,80,4,20,1,36.1791695121841,-3.38127848271537,0.558046640369186,-4.47504989783897,-2.28750706759176,-6.05913240599105,1.3685770536167e-09,NA,FALSE,"More positive in oxygen control",3,3,FALSE
4,"ENSMUSG00000073412","Lst1",1767,1050,2165,993,1395,1379,1485.05960561649,-0.952719724294378,0.162971319703468,-1.27214351091317,-0.633295937675581,-5.8459348922736,5.0373105465659e-09,1.11358145149417e-05,TRUE,"More positive in oxygen control",6,6,TRUE
5,"ENSMUSG00000038151","Prdm1",194,199,293,117,203,116,196.546938059748,-1.26970001019097,0.223568610801257,-1.70789448736143,-0.831505533020509,-5.67924095265629,1.35293779904068e-08,2.24317087080944e-05,TRUE,"More positive in oxygen control",4,4,FALSE
6,"ENSMUSG00000073640","Rpl27-ps3",163,138,221,119,127,116,153.766020073271,-1.102972783057,0.202811012208015,-1.50048236698471,-0.705463199129293,-5.43842649888128,5.37531763384616e-08,7.12982130953354e-05,TRUE,"More positive in oxygen control",4,4,FALSE
7,"ENSMUSG00000099974","Bcl2a1d",837,1085,976,622,481,667,857.133992732173,-1.33692225464567,0.256871832761366,-1.84039104685794,-0.833453462433388,-5.20462769418424,1.94385922260871e-07,0.000214861239405682,TRUE,"More positive in oxygen control",5,5,FALSE
8,"ENSMUSG00000019850","Tnfaip3",3783,3178,4912,3635,4164,3773,3951.19932163274,-0.617612789603014,0.125873145064403,-0.864324153929244,-0.370901425276784,-4.90662872757339,9.26551855219811e-07,0.000877841700545398,TRUE,"More positive in oxygen control",6,6,TRUE
9,"ENSMUSG00000019122","Ccl9",1141,756,1785,914,1171,1008,1131.65121558297,-0.79022904631331,0.164739352122943,-1.11311817647428,-0.467339916152341,-4.79684444627152,1.61184674039837e-06,0.00133622094779024,TRUE,"More positive in oxygen control",6,6,TRUE
10,"ENSMUSG00000001403","Ube2c",54,3,35,0,2,4,17.7604043220407,-4.40679201587658,0.924867324015164,-6.2195319709463,-2.59405206080686,-4.76478290609857,1.89057089083483e-06,NA,FALSE,"More positive in oxygen control",1,1,FALSE
