outcome_type,outcome,sample,display_group,gene_umi,total_retained_umi,value,metric
gene,Irf7,C1,Oxygen control,46,8028456,2.5340360702335487,Gene-level pseudobulk log2-CPM
gene,Irf7,C2,Oxygen control,38,6174562,2.640449506028748,Gene-level pseudobulk log2-CPM
gene,Irf7,C3,Oxygen control,52,9706204,2.4353381867871584,Gene-level pseudobulk log2-CPM
gene,Irf7,S1,Combined exposure,109,10096172,3.439050428192785,Gene-level pseudobulk log2-CPM
gene,Irf7,S2,Combined exposure,59,12003647,2.309416749944902,Gene-level pseudobulk log2-CPM
gene,Irf7,S3,Combined exposure,436,11252901,5.277612644089977,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C1,Oxygen control,112,8028456,3.8086584503425542,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C2,Oxygen control,203,6174562,5.042547949600094,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C3,Oxygen control,222,9706204,4.518754194974796,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S1,Combined exposure,261,10096172,4.694930504838553,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S2,Combined exposure,187,12003647,3.965345772020202,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S3,Combined exposure,1896,11252901,7.396898456754775,Gene-level pseudobulk log2-CPM
gene,Isg15,C1,Oxygen control,123,8028456,3.943244490710195,Gene-level pseudobulk log2-CPM
gene,Isg15,C2,Oxygen control,151,6174562,4.616836948806798,Gene-level pseudobulk log2-CPM
gene,Isg15,C3,Oxygen control,243,9706204,4.648870631203378,Gene-level pseudobulk log2-CPM
gene,Isg15,S1,Combined exposure,225,10096172,4.481246991846993,Gene-level pseudobulk log2-CPM
gene,Isg15,S2,Combined exposure,230,12003647,4.263221927066296,Gene-level pseudobulk log2-CPM
gene,Isg15,S3,Combined exposure,885,11252901,6.298123297212452,Gene-level pseudobulk log2-CPM
gene,Mx1,C1,Oxygen control,12,8028456,0.6387334489002422,Gene-level pseudobulk log2-CPM
gene,Mx1,C2,Oxygen control,6,6174562,0.07410268347493891,Gene-level pseudobulk log2-CPM
gene,Mx1,C3,Oxygen control,20,9706204,1.078644673739119,Gene-level pseudobulk log2-CPM
gene,Mx1,S1,Combined exposure,36,10096172,1.8540879274716289,Gene-level pseudobulk log2-CPM
gene,Mx1,S2,Combined exposure,30,12003647,1.3453363241998448,Gene-level pseudobulk log2-CPM
gene,Mx1,S3,Combined exposure,72,11252901,2.6876838904754723,Gene-level pseudobulk log2-CPM
gene,Ifit1,C1,Oxygen control,10,8028456,0.3871946819042778,Gene-level pseudobulk log2-CPM
gene,Ifit1,C2,Oxygen control,4,6174562,-0.45641203322384094,Gene-level pseudobulk log2-CPM
gene,Ifit1,C3,Oxygen control,22,9706204,1.2129457654507103,Gene-level pseudobulk log2-CPM
gene,Ifit1,S1,Combined exposure,36,10096172,1.8540879274716289,Gene-level pseudobulk log2-CPM
gene,Ifit1,S2,Combined exposure,14,12003647,0.2725799817645306,Gene-level pseudobulk log2-CPM
gene,Ifit1,S3,Combined exposure,103,11252901,3.2012617579598626,Gene-level pseudobulk log2-CPM
gene,Ifit2,C1,Oxygen control,20,8028456,1.352429263743601,Gene-level pseudobulk log2-CPM
gene,Ifit2,C2,Oxygen control,12,6174562,1.0175191551085714,Gene-level pseudobulk log2-CPM
gene,Ifit2,C3,Oxygen control,17,9706204,0.8503756860660021,Gene-level pseudobulk log2-CPM
gene,Ifit2,S1,Combined exposure,57,10096172,2.5097534195359867,Gene-level pseudobulk log2-CPM
gene,Ifit2,S2,Combined exposure,45,12003647,1.922393626835655,Gene-level pseudobulk log2-CPM
gene,Ifit2,S3,Combined exposure,66,11252901,2.563057235961727,Gene-level pseudobulk log2-CPM
gene,Ifit3,C1,Oxygen control,64,8028456,3.0061045145487717,Gene-level pseudobulk log2-CPM
gene,Ifit3,C2,Oxygen control,29,6174562,2.256306014695688,Gene-level pseudobulk log2-CPM
gene,Ifit3,C3,Oxygen control,68,9706204,2.8191247520815623,Gene-level pseudobulk log2-CPM
gene,Ifit3,S1,Combined exposure,73,10096172,2.863935713427976,Gene-level pseudobulk log2-CPM
gene,Ifit3,S2,Combined exposure,83,12003647,2.798303279111011,Gene-level pseudobulk log2-CPM
gene,Ifit3,S3,Combined exposure,328,11252901,4.867524360782867,Gene-level pseudobulk log2-CPM
panel,author_selected_isg7,C1,Oxygen control,NA,8028456,2.2386287029118845,Equal-gene-weight mean log2-CPM
panel,author_selected_isg7,C2,Oxygen control,NA,6174562,2.1701928892129994,Equal-gene-weight mean log2-CPM
panel,author_selected_isg7,C3,Oxygen control,NA,9706204,2.5091505557575324,Equal-gene-weight mean log2-CPM
panel,author_selected_isg7,S1,Combined exposure,NA,10096172,3.0995847018265072,Equal-gene-weight mean log2-CPM
panel,author_selected_isg7,S2,Combined exposure,NA,12003647,2.4109425229917774,Equal-gene-weight mean log2-CPM
panel,author_selected_isg7,S3,Combined exposure,NA,11252901,4.613165949033876,Equal-gene-weight mean log2-CPM
