outcome_type,outcome,dropped_animal,dropped_group,n_combined_exposure,n_oxygen_control,combined_exposure_mean,oxygen_control_mean,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,cohens_d,exact_permutation_p,perfect_group_separation,sign_matches_full
gene,Irf7,(none),NA,3,3,3.675359940742555,2.536607921016485,1.1387520197260699,-2.558541081349739,4.836045120801879,1.0724464240869325,0.4,FALSE,TRUE
gene,Irf7,C1,Oxygen control,3,2,3.675359940742555,2.537893846407953,1.1374660943346018,-2.5143550777479016,4.789287266417105,0.9277180675203801,NA,FALSE,TRUE
gene,Irf7,C2,Oxygen control,3,2,3.675359940742555,2.4846871285103536,1.1906728122322012,-2.5139966996549727,4.895342324119375,0.9728585614751509,NA,FALSE,TRUE
gene,Irf7,C3,Oxygen control,3,2,3.675359940742555,2.5872427881311486,1.0881171526114062,-2.613848359974288,4.790082665197101,0.8889855293319656,NA,FALSE,TRUE
gene,Irf7,S1,Combined exposure,2,3,3.7935146970174394,2.536607921016485,1.2569067760009545,-17.47429595799109,19.988109509992995,1.0347875294432796,NA,FALSE,TRUE
gene,Irf7,S2,Combined exposure,2,3,4.358331536141382,2.536607921016485,1.8217236151248968,-9.657560606685559,13.301007836935353,2.412085141412604,NA,TRUE,TRUE
gene,Irf7,S3,Combined exposure,2,3,2.8742335890688437,2.536607921016485,0.33762566805235883,-6.520727648567346,7.195978984672063,0.720321811338284,NA,FALSE,TRUE
gene,Ifitm3,(none),NA,3,3,5.352391577871177,4.456653531639148,0.8957380462320286,-3.090738771387011,4.882214863851068,0.6629104102561197,0.6,FALSE,TRUE
gene,Ifitm3,C1,Oxygen control,3,2,5.352391577871177,4.780651072287444,0.5717405055837324,-3.6108194014853083,4.754300412652773,0.38334339103119763,NA,FALSE,TRUE
gene,Ifitm3,C2,Oxygen control,3,2,5.352391577871177,4.163706322658675,1.1886852552125013,-2.841166083012676,5.218536593437679,0.7902194399792861,NA,FALSE,TRUE
