omitted_animal,n_combined_exposure,n_oxygen_control,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,scenario_order,scenario,is_full_cohort,fdr_lt_0_05,nes_rank_descending,nes_rank_ascending,absolute_nes_rank
(none),3,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5275081839562835,-2.470813545455537,6.3430643581081255e-15,3.171532179054063e-13,1.8695347581792374e-13,976,"tags=32%, list=7%, signal=30%",Zbtb10/Tgif1/Nr4a2/Rcan1/Abca1/Marcks/Litaf/Cflar/Btg1/Ninj1/Maff/Ehd1/Mcl1/Nfkbie/Plek/Btg3/Areg/Fosl2/Bcl6/Sdc4/Eif1/Gem/Sat1/Nfkb1/Vegfa/Klf4/Rel/Irs2/Dennd5a/Trib1/Tnfaip2/Gch1/Il1a/Cd44/Nfil3/Cebpb/Ets2/Pde4b/Il6/B4galt1/Kdm6b/Ccl5/Plau/Id2/Csf1/Fosb/Cd83/Ccrl2/Nr4a3/Plaur/Ptgs2/Cxcl10/Nr4a1/Rnf19b/Tnfaip3/Bcl2a1d,1,Full cohort,TRUE,TRUE,50,1,1
(none),3,3,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.5125404409507817,2.1714562753577713,1.8959256173347885e-7,3.159876028891314e-6,1.8626637643990904e-6,2602,"tags=59%, list=20%, signal=48%",Irf9/Ifit2/Dhx58/Irf1/Eif2ak2/Ogfr/Rtp4/Usp18/Cmpk2/Tap1/Stat2/Irf7/Rnf31/Parp14/Oas1a/Trim14/Cnp/Mov10/Rsad2/Lgals3bp/Adar/Trim21/Sp110/Oasl1/Gmpr/Tmem140/Trim12c/Trafd1/Ifitm3/Ifit3/Psme2/Il4ra/Parp9/Ifi35/Herc6/Isg15/Ifi30/Ifitm1/Uba7/Trim25/Lpar6/Ripk2/Ifih1/Psme1/Batf2/Bst2/Isg20/Helz2/Wars1/Slc25a28/Parp12,1,Full cohort,TRUE,TRUE,1,50,2
(none),3,3,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,0.5184796289156857,2.0307126552063823,2.114562493245911e-5,1.5104017808899363e-4,8.903421024193309e-5,1739,"tags=43%, list=13%, signal=38%",Myc/Mcm5/Grwd1/Nop2/Nop56/Ppan/Tbrg4/Noc4l/Tmem97/Mcm4/Ung/Srm/Bysl/Mrto4/Cdk4/Rrp9/Pprc1/Nop16/Nolc1/Mphosph10/Pes1/Wdr43/Nip7/Mybbp1a/Wdr74,1,Full cohort,TRUE,TRUE,2,49,3
(none),3,3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,192,-0.4275010582465998,-2.0241208866874305,5.3750714286776826e-8,1.3437678571694205e-6,7.921157894893427e-7,2883,"tags=36%, list=22%, signal=29%",Eci1/Ogdh/Nqo2/Cox5b/Polr2f/Idh3g/Suclg1/Ndufa8/Etfb/Atp6v1d/Atp5me/Ndufs3/Atp5po/Atp6v1e1/Ndufa6/Hsd17b10/Hadhb/Sdhd/Cox4i1/Atp1b1/Mtx2/Dld/Uqcrq/Atp5mc3/Ndufb7/Cox8a/Atp6v0b/Ndufb5/Supv3l1/Atp5pb/Ndufa4/Gpx4/Ndufb2/Ndufc1/Sdha/Atp5pd/Atp5pf/Cox7b/Timm8b/Atp5f1e/Atp6v0e/Vdac3/Ndufs6/Cox6c/Etfa/Bax/Cox7c/Fdx1/Atp5mf/AK157302/Uqcr10/Ndufa1/Atp6v1f/Ndufa2/Mpc1/Cox7a2l/Cox6b1/Cyb5a/Cox17/Ndufa5/Atp6v1g1/Uqcrb/Cox7a2/Ndufa7/Ndufc2/Uqcrh/Ndufs4/Ndufab1/Ndufb3,1,Full cohort,TRUE,TRUE,49,2,4
(none),3,3,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,163,-0.416284136439297,-1.9240573813188977,7.668908960901288e-7,9.58613620112661e-6,5.650775023822002e-6,1490,"tags=28%, list=11%, signal=25%",Cxcr4/Myh9/Serpine1/Slc2a1/Rbpj/Sap30/Nedd4l/Eno2/Eno3/Slc2a3/Csrp2/Noct/Pfkp/Rora/Anxa2/Glrx/P4ha1/Btg1/Klf7/Atp7a/Maff/Rragd/Fosl2/Sdc4/Tpi1/Ids/Foxo3/S100a4/Vegfa/Tpbg/Gcnt2/Irs2/Prkca/Pfkl/Cp/Car12/Nfil3/Aldoa/Tes/Pgk1/Slc2a5/Il6/Mif/Plaur/Tnfaip3,1,Full cohort,TRUE,TRUE,48,3,5
(none),3,3,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,146,-0.4059835819076389,-1.8471538688454656,1.9316481296371975e-5,1.5104017808899363e-4,8.903421024193309e-5,2219,"tags=32%, list=17%, signal=27%",Grb2/Was/Jak2/F3/Pim1/S100a9/Adam9/Anxa5/Apoc1/Ppp2cb/Dyrk2/Casp9/Serpine1/Ctso/Fcer1g/Dgkh/Cfh/C3/Cblb/Brpf3/S100a13/Psmb9/Lamp2/Fdx1/Gngt2/Notch4/Lyn/Atox1/Casp3/Timp2/Lrp1/Cpq/Maff/Ehd1/Plek/Casp4/Dock4/Gng2/Cp/Cebpb/Gp9/Il6/Ccl5/Ang/Plaur/Tnfaip3,1,Full cohort,TRUE,TRUE,47,4,6
(none),3,3,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.4061908602768037,-1.8461972784026033,1.3480866927828124e-5,1.3480866927828125e-4,7.946616294298684e-5,2112,"tags=29%, list=16%, signal=25%",Sri/Ccl7/Gpr183/F3/Emp3/Osm/P2ry2/Ptger4/Tnfrsf1b/Edn1/Ccl24/Ebi3/Serpine1/Rela/Pvr/Il18/Cd82/Calcrl/Cxcl9/Lyn/Abca1/Ahr/Gpr132/Clec5a/Cybb/Rgs1/Nfkb1/Tpbg/Ptafr/Gch1/Il1a/Nlrp3/Pde4b/Il6/Ccl5/Dcbld2/Itga5/Cd14/Csf1/Ccrl2/Plaur/Cxcl10,1,Full cohort,TRUE,TRUE,46,5,7
(none),3,3,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,86,-0.4367568731278408,-1.834284245020936,1.598956085524726e-4,9.993475534529536e-4,5.890890841406886e-4,2903,"tags=44%, list=22%, signal=35%",Bmpr1b/Arid5b/Hmgcr/Idi1/Actn1/Inpp4b/Tnfaip8/Dbi/Ank/Ube2i/Elk4/Lman1/Stk39/Lifr/Uap1/Fkbp5/Hmgcs1/Maf/Ncoa4/Zbtb10/Tmem50a/Appbp2/Rps6ka3/Selenop/Ccnd3/Ngly1/Itgav/H1f0/Mertk/Cenpn/Sat1/Abhd2/Ell2/Ube2j1/Vapa/Fads1/B4galt1/B2m,1,Full cohort,TRUE,TRUE,45,6,8
(none),3,3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,129,-0.37870038882537355,-1.692470966636128,2.485070923894642e-4,0.00138059495771924,8.138243961292396e-4,2038,"tags=28%, list=15%, signal=24%",Fzd8/Emp3/Basp1/Glipr1/Msx1/Sparc/Matn2/Abi3bp/Serpine1/Calu/Pvr/Eno2/Thbs1/Notch2/Wipf1/Lrp1/Serpine2/Pmp22/Pcolce/Itgav/Areg/Sdc4/Gem/Sat1/Vegfa/Dst/Tpm4/Igfbp2/Cd44/Col6a3/Il6/Itga5/Id2/Vcam1/Plaur/Tnfaip3,1,Full cohort,TRUE,TRUE,44,7,9
(none),3,3,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,148,-0.36814396274081534,-1.6825460415143048,3.1027177198712455e-4,0.00155135885993562,9.144852226988937e-4,1620,"tags=21%, list=12%, signal=19%",Tnfrsf1b/Snap91/Slpi/Cxcr4/Psmb8/Ccnd2/Fcer1g/Ace/Cfh/Strn/Pecam1/Cdadc1/Snap25/Cab39l/Laptm5/Glrx/Tspan13/Il2rg/Etv1/Klf4/Trib1/Igf2/Ly96/Dcbld2/Plau/Id2/Plaur/Ptgs2/Cxcl10/Tnfaip3/Prdm1,1,Full cohort,TRUE,TRUE,43,8,10
