analysis_set,biological_unit,panel,panel_genes,selection_status,normalization,symbol_deduplication,n_expression_features,gene_pool,seed,ctrl_size,n_bins,use_raw,ctrl_as_ref,n_control_genes,relevant_expression_bins,control_set_sha256,scanpy_version,control_gene_order,control_gene,matrix_feature_index_1based,expression_bin,mean_log1p_normalized_expression,fixed_configuration,component_identity_rule,matched_control_status,interpretation_limit
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,1,1700037C18Rik,23762,17,0.05067750431113061,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,2,1700037H04Rik,3302,16,0.03093715031682967,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,3,1700049G17Rik,12220,15,0.02197663086334961,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,4,2700049A03Rik,22397,17,0.05501280968199913,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,5,4930430F08Rik,14954,17,0.0579726421401226,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,6,9130023H24Rik,13805,16,0.02581253020706146,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,7,9330020H09Rik,23573,15,0.0180055822450842,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,8,A430005L14Rik,8196,20,0.18268697508606363,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,9,AI606181,27640,16,0.03103922542602555,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
"Primary: 7,371 Scrublet-negative microglia",Animal/library,author_selected_isg7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,"Author-selected, post hoc, exploratory","normalize_total target_sum=10000, then log1p",Retain first Ensembl feature per gene symbol,27933,Full symbol-deduplicated matrix,42,50,25,FALSE,TRUE,249,15;16;17;19;20,38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f,1.11.5,10,Aasdhppt,17588,19,0.13888965897022537,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,selected component - matched-control component = Scanpy score,Algorithm-selected reference term; not a validated neutral biological background program,Algorithmic matched-control gene; not a validated neutral biological background
