estimand,contrast,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fdr_lt_0_05,nes_rank_descending,absolute_nes_rank
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,91,-0.5377419663100561,-2.3941954282343594,2.778353482192303e-9,1.3891767410961515e-7,9.651122622352212e-8,4605,"tags=53%, list=24%, signal=40%",Irf7/Usp18/Elf1/Isg15/Rnf31/Herc6/Tdrd7/Casp8/Casp1/Il15/Csf1/Cd74/Ifi35/Wars1/Cnp/Rtp4/Psme1/Helz2/Ogfr/Slc25a28/Nub1/Trim26/Mov10/Lpar6/Psme2/Batf2/Ly6e/Epsti1/Ifih1/Ifi30/Procr/Tmem140/B2m/Ccrl2/Tap1/Cxcl10/Dhx58/Lgals3bp/Gmpr/Bst2/Trim21/Oas1a/Psmb9/Mx2/Irf1/Ifitm3/Ifit3/Samd9l,TRUE,50,1
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,178,-0.4233474693650186,-2.1004942547605983,1.559372940331986e-8,3.898432350829965e-7,2.7083845805766074e-7,4029,"tags=42%, list=21%, signal=34%",Bpgm/Rnf31/Irf5/Herc6/Tdrd7/Oas2/Itgb7/Psmb2/Casp8/Nup93/Rigi/Tnfaip6/Casp1/Il15/Rapgef6/Fcgr1/Cd74/Ifi35/Cfh/Wars1/Pml/Rtp4/Psme1/Helz2/Ogfr/Cdkn1a/Tapbp/Slc25a28/H2-DMa/Irf4/Trim26/Rnf213/Sppl2a/Nfkb1/Stat1/Eif4e3/Psme2/Batf2/St3gal5/Ly6e/Btg1/Epsti1/Mvp/Ifih1/Nampt/Ifi30/Vcam1/Mthfd2/Ptpn6/B2m/Pla2g4a/Tap1/Cxcl10/Ptgs2/Lats2/Dhx58/Pde4b/Icam1/Lgals3bp/Bst2/Irf8/Trim21/Bank1/H2-Aa/Ifnar2/Psmb9/Mx2/Irf1/Ifitm3/Hif1a/Tnfaip3/Slamf7/Ifit3/Il10ra/Samd9l,TRUE,49,2
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,183,-0.3502334697632876,-1.7414376745494418,6.575229839311164e-5,0.001095871639885194,7.613424024465559e-4,3558,"tags=34%, list=18%, signal=28%",Il18/Gem/Tnip2/B4galt5/Dram1/Rnf19b/Rigi/Tnfaip6/Stat5a/Slc2a6/Atp2b1/Csf1/Trib1/Ifngr2/Nfat5/Cdkn1a/Pdlim5/Nfkb1/Tnip1/Pnrc1/Btg3/Btg1/Tsc22d1/Atf3/Ifih1/Nampt/Map2k3/Sat1/Ehd1/Ccrl2/Tap1/Cxcl10/Gpr183/Ptgs2/Ptpre/Ier3/Abca1/Pde4b/Birc3/Rel/Icam1/Tubb2a/Plek/Ccnd1/Tlr2/Irf1/Litaf/Pmepa1/Tiparp/Nfkbie/Slc16a6/Junb/Tnfaip3/Tnf/Plau/F3/Relb/Marcks/Il1a/Nfkb2/Smad3/Cd83/Il6st,TRUE,48,3
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,169,-0.3237670722818592,-1.5941329903254517,5.141076081476617e-4,0.0064263451018457705,0.004464618702334957,3393,"tags=30%, list=18%, signal=25%",Tnfaip6/Il15/Atp2b1/Abi1/P2rx4/Csf1/Clec5a/Sema4d/Slc28a2/Ifngr2/Rtp4/Ifnar1/Acvr2a/Cdkn1a/Tapbp/Nfkb1/Ly6e/Osm/Slamf1/Nampt/Scn1b/Marco/Mmp14/Rnf144b/Ccrl2/Cxcl10/Slc11a2/Gpr183/Ptpre/Abca1/Cd82/Pde4b/Adgre1/Rhog/Icam1/Bst2/Cd48/Ebi3/Il1r1/Tlr2/Irf1/Hif1a/Irak2/Lpar1/Hpn/F3/Ptafr/Il10ra/Il1a/Csf3r/Gna15,TRUE,45,6
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,95,-0.36255500388750667,-1.6406360696792752,0.0033365934740557245,0.03319524096741019,0.023061956882621817,4176,"tags=38%, list=22%, signal=30%",Sod1/Lonp2/Pex6/Ide/Ech1/Cel/Esr2/Retsat/Pex2/Slc25a19/Fis1/Hsd3b7/Slc35b2/Abcb4/Abcd1/Dhrs3/Cat/Mvp/Acaa1a/Abcb1a/Slc23a2/Prdx1/Idi1/Ywhah/Tspo/Pex11a/Acsl4/Pex13/Hsd17b4/Cln8/Pex14/Abcc5/Alb/Ehhadh/Fdps/Fads1,TRUE,47,4
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,51,-0.4070852957326425,-1.6089866993703492,0.0062553883681533504,0.03319524096741019,0.023061956882621817,933,"tags=22%, list=5%, signal=21%",Id3/Bmpr2/Thbs1/Skil/Bmpr1a/Pmepa1/Junb/Fnta/Eng/Hipk2/Smad3,TRUE,46,5
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_COAGULATION,HALLMARK_COAGULATION,106,-0.34005117219206454,-1.5688736563363024,0.007569537763527547,0.03319524096741019,0.023061956882621817,4304,"tags=42%, list=22%, signal=32%",Clu/Lamp2/S100a13/S100a1/Masp2/Cfb/C1qa/Gsn/Pf4/P2ry1/Sh2b2/C2/F10/C8a/Gp9/Usp11/Mst1/Crip2/Lgmn/Cfh/Gnb2/Klk8/Ctsb/Mmp2/Furin/Ctsl/Itga2/A2m/Mmp14/Wdr1/Ctsh/Ctso/Thbs1/Trf/Msrb2/Plek/Cd9/Sirt2/Arf4/Plau/Hpn/F3/Pdgfb/Sparc,TRUE,44,7
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,167,-0.29974604071334565,-1.47635982284211,0.0053216683577826844,0.03319524096741019,0.023061956882621817,5696,"tags=44%, list=29%, signal=31%",Psen1/Usp8/Ccl5/Clu/Lyn/Hspa1a/Lamp2/Fcer1g/Sirt6/Lap3/S100a13/Pdp1/Lcp2/Cfb/C1qa/Rce1/Kynu/Gngt2/Cd46/Irf7/Pfn1/C2/F10/Xpnpep1/Cr2/Src/Akap10/Gp9/Usp16/Msrb1/Gnai3/Prcp/Dgkg/Gnai2/Casp1/Ctss/Lgmn/Cfh/Gnb2/Vcpip1/Ctsb/Usp15/Me1/Itgam/Car2/Ppp4c/Ctsl/Zeb1/Gmfb/S100a9/Gata3/Mmp14/Ehd1/Pla2g4a/Cdk5r1/Prkcd/Rhog/Gpd2/Ctsh/Ctso/Plek/Cd36/Psmb9/Calm1/Irf1/Cpm/Tnfaip3/Ctsc/Lipa/Gca/F3/Kcnip3/Pdgfb,TRUE,42,10
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,-0.29241122520430796,-1.4641501070583938,0.0049529328049591,0.03319524096741019,0.023061956882621817,4336,"tags=33%, list=22%, signal=26%",Dlst/Gpx4/Atp5f1a/Eci1/Ndufa1/Cox7a2l/Atp6v1f/Fh1/Cox7b/Mdh1/Ech1/Bckdha/Atp5f1d/Cyc1/Alas1/Retsat/Mpc1/Prdx3/Ndufs1/Uqcrb/Slc25a5/Aifm1/Atp5f1b/Slc25a11/Sucla2/Suclg1/Mrps11/Cox10/Oxa1l/Atp5me/Htra2/Cs/Timm50/Atp6v1h/Cyb5r3/Timm17a/Ndufs7/Opa1/Acaa1a/Cyb5a/Ndufs2/Ndufc2/Ndufa6/Atp6v0b/Ndufa3/Mrpl15/Tcirg1/Mrps15/Ndufa4/Idh3g/Bax/Slc25a3/Atp6v1d/Ndufb6/Atp6v0c/Tomm22/Pdha1/Ndufs8/Por/Dld/Mfn2/Nqo2/Ndufab1,TRUE,41,11
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,168,-0.29608537553867104,-1.462190241806829,0.006013903527128514,0.03319524096741019,0.023061956882621817,3108,"tags=25%, list=16%, signal=21%",Ctss/Trib2/Cfh/Trib1/Il33/Etv4/Tmem176b/Laptm5/Hsd11b1/Hdac9/Cd37/Kif5c/Mmd/Car2/Ephb2/Jup/Etv5/Tfpi/Clec4a3/Abcb1a/Itga2/Scn1b/Dock2/Lcp1/Lat2/Cxcl10/Aldh1a3/Prdm1/Ptgs2/Itgb2/Birc3/Arg1/Tmem176a/Irf8/Tnfaip3/Wnt7a/Eng/Plau/Il10ra/Vwa5a/St6gal1/Nrp1,TRUE,40,12
