gsm,facs_id,facs_core,biosample,sra_experiment,matrix_order,age_source,age,treatment_source,treatment,time_source,time,region,cell_type,genotype,platform,instrument,library_strategy,deposited_matrix,library_total,included_in_old_model,biological_unit
GSM8661608,FACS40_HP,FACS40,SAMN45148257,SRX26953948,1,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2859066,TRUE,Animal/library
GSM8661610,FACS41_HP,FACS41,SAMN45148255,SRX26953950,2,3-5 months,Young (3–5 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2473827,FALSE,Animal/library
GSM8661612,FACS42_HP,FACS42,SAMN45148253,SRX26953952,3,3-5 months,Young (3–5 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,3497144,FALSE,Animal/library
GSM8661614,FACS43_HP,FACS43,SAMN45148251,SRX26953954,4,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2539367,TRUE,Animal/library
GSM8661616,FACS44_HP,FACS44,SAMN45148249,SRX26953956,5,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2698735,TRUE,Animal/library
GSM8661618,FACS45_HP,FACS45,SAMN45148247,SRX26953958,6,3-5 months,Young (3–5 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,3481921,FALSE,Animal/library
GSM8661620,FACS46_HP,FACS46,SAMN45148245,SRX26953960,7,3-5 months,Young (3–5 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,1874168,FALSE,Animal/library
GSM8661622,FACS47_HP,FACS47,SAMN45148243,SRX26953986,8,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2942195,TRUE,Animal/library
GSM8661624,FACS48_HP,FACS48,SAMN45148241,SRX26953988,9,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2418963,TRUE,Animal/library
GSM8661626,FACS49_HP,FACS49,SAMN45148239,SRX26953990,10,3-5 months,Young (3–5 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2540943,FALSE,Animal/library
GSM8661628,FACS50_HP,FACS50,SAMN45148237,SRX26953992,11,3-5 months,Young (3–5 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2924116,FALSE,Animal/library
GSM8661630,FACS51_HP,FACS51,SAMN45148235,SRX26953994,12,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2944076,TRUE,Animal/library
GSM8661632,FACS52_HP,FACS52,SAMN45148233,SRX26953996,13,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2937472,TRUE,Animal/library
GSM8661634,FACS53_HP,FACS53,SAMN45148231,SRX26953962,14,3-5 months,Young (3–5 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2777496,FALSE,Animal/library
GSM8661636,FACS54_HP,FACS54,SAMN45148229,SRX26953964,15,3-5 months,Young (3–5 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2792263,FALSE,Animal/library
GSM8661638,FACS55_HP,FACS55,SAMN45148227,SRX26953966,16,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,3635847,TRUE,Animal/library
GSM8661640,FACS56_HP,FACS56,SAMN45148225,SRX26953968,17,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2901605,TRUE,Animal/library
GSM8661642,FACS59_HP,FACS59,SAMN45148223,SRX26953970,18,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2994784,TRUE,Animal/library
GSM8661644,FACS60_HP,FACS60,SAMN45148221,SRX26953972,19,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2761340,TRUE,Animal/library
GSM8661646,FACS63_HP,FACS63,SAMN45148219,SRX26954010,20,20-22 months,Old (20–22 months),surgery,Isoflurane + laparotomy,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2444469,TRUE,Animal/library
GSM8661648,FACS64_HP,FACS64,SAMN45148217,SRX26954012,21,20-22 months,Old (20–22 months),control,Source-labelled control,6 hours,6 h,hippocampus,microglia,WT,GPL19057,Illumina NextSeq 500,RNA-Seq,GSE283401_hp_6h_counts.csv.gz,2747766,TRUE,Animal/library
