estimand,contrast,ensembl,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj,direction,feature_universe,symbol_mapping,estimand_note
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000001,Gnai3,27.980568411911328,-0.2552532920412239,0.29704064962005944,-0.8374422672409214,0.3269356831584737,-0.8593210806928776,0.390163396850252,0.83633534582534,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000028,Cdc45,5.238441913250438,-0.6612632341738852,0.5972451174596046,-1.831842154337104,0.5093156859893336,-1.1071890164403237,0.26821221529671596,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000031,H19,0.6079284246243297,2.285219059921358,1.8943216272520018,-1.4275831046278729,5.998021224470589,1.2063521986160353,0.2276817189031421,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000056,Narf,55.82737678879797,-0.250949841270566,0.4170822821435764,-1.0684160928617488,0.5665164103206168,-0.6016794575420948,0.5473875266229846,0.8965645051592627,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000058,Cav2,1.7353170603570534,-1.1308952146660558,1.0876042864473472,-3.26256044553424,1.0007700162021282,-1.0398039330647713,0.2984310014727947,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000078,Klf6,152.81417167802618,0.08399379998988095,0.2694394048778019,-0.44409772958651633,0.6120853295662783,0.3117353975301958,0.7552416241788855,0.9539642104501964,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000085,Scmh1,37.362392445219754,0.18788036177720305,0.21953854402815348,-0.2424072777363386,0.6181680012907447,0.8557967012531038,0.3921102401884615,0.8368009733194632,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000088,Cox5a,26.20652609999382,-0.1525584131509374,0.29471646855098865,-0.7301920771617065,0.42507525085983167,-0.5176446837226655,0.6047061994599523,0.9124536914742999,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000094,Tbx4,0.9206201618158716,0.6484196673901722,1.2202910235226174,-1.7433067893716774,3.0401461241520216,0.5313647768369035,0.5951660250741346,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000103,Zfy2,1.1243533865021107,1.479416400237149,1.1692556950524475,-0.8122826507839955,3.771115451258294,1.2652633692502897,0.2057769330112944,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000120,Ngfr,0.998203632578571,1.6642450588133182,1.315826434552123,-0.9147273628145924,4.243217480441229,1.2647907163985417,0.2059463601770283,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000127,Fer,19.342896457032136,-0.08343807555619152,0.3152961896286794,-0.7014072516911143,0.5345311005787312,-0.2646339483342807,0.7912914652110182,0.9628801711617608,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000131,Xpo6,91.82874372512421,-0.13950067234616773,0.29949124824735845,-0.7264927325959346,0.4474913879035992,-0.46579214972903016,0.6413642847696823,0.9223641936882664,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000134,Tfe3,131.583192968819,-0.058215191187280135,0.27509265439191644,-0.5973868862069605,0.4809565038324002,-0.2116203041333945,0.8324032676618511,0.9712268768852568,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000148,Brat1,36.63449682140812,-0.5167102955564301,0.2235655910723853,-0.9548908022407145,-0.07852978887214562,-2.3112246078562753,0.020820451816414547,0.41669266510640124,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000149,Gna12,65.96754700271217,-0.0908953481157284,0.19549500039806328,-0.47405850805357586,0.29226781182211903,-0.4649497323749916,0.6419674547988825,0.9223641936882664,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000154,Slc22a18,1.3648173501396466,1.6907068727511652,1.153684336274231,-0.5704728758743234,3.9518866213766537,1.4654848120857937,0.1427886931046473,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000157,Itgb2l,3.467398947722326,0.6360050659877404,2.1411998539597037,-3.5606695314757006,4.832679663451182,0.2970320891866219,0.7664420104744891,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000159,Igsf5,0.7203690029331847,2.038011103528578,1.943448772458523,-1.771078496288704,5.847100703345861,1.0486569712616767,0.29433602479008697,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000167,Pih1d2,2.6637781738855852,0.9849524177162507,0.7614464204907528,-0.5074551426025662,2.477359978035068,1.293528200029423,0.19582843723652663,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000168,Dlat,20.260859110383787,-0.035861877329018424,0.5153107939709128,-1.0458524743567472,0.9741287196987103,-0.06959271520914945,0.9445178353047616,0.9933716992952442,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000171,Sdhd,31.044028030655408,0.2693969707379137,0.27535863065723437,-0.2702960281825323,0.8090899696583597,0.9783494713599816,0.32790150982812893,0.8108705923377031,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000182,Fgf23,0.6863861759460089,-0.5929542317413055,1.3300364891609233,-3.1997778486208124,2.0138693851382015,-0.44581801820744105,0.6557287053007942,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000183,Fgf6,1.3308861827902423,-0.2730789094930033,1.1279147284843567,-2.483751154954615,1.9375933359686088,-0.2421095341666076,0.8086952907477803,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000184,Ccnd2,1.7749479054394095,-0.3639701889421535,0.8489216596512728,-2.027826067554617,1.29988568967031,-0.42874414241199627,0.6681094326305794,NA,More positive in source-labelled control,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000194,Gpr107,78.83306649059617,0.6432933805401865,0.3657449419383661,-0.07355353318670399,1.3601402942670768,1.7588579000734117,0.07860164743899097,0.6294665180136585,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
treatment_6h,6 h: isoflurane plus laparotomy minus source-labelled control,ENSMUSG00000000197,Nalcn,5.3706990365967044,0.36695189739563794,0.5827475327186433,-0.7752122788124794,1.5091160736037552,0.6296927516513505,0.5288956258189728,NA,More positive in combined exposure,"26,317 Ensembl features with >=10 total counts across 15 old 6 h animals",org.Mm.eg.db 3.22.0; multiVals=first,"Old animals, 6 h: isoflurane-plus-laparotomy versus source-labelled control"
