partition,traceability_name,gene_group,gene_group_order,gene,within_group_order,n_cells,pct_detected
0,Inflammatory,Microglia core,1,P2ry12,1,1650,99.03030303030303
0,Inflammatory,Microglia core,1,Tmem119,2,1650,97.45454545454545
0,Inflammatory,Microglia core,1,Cx3cr1,3,1650,99.57575757575758
0,Inflammatory,Microglia core,1,Hexb,4,1650,100.0
0,Inflammatory,Microglia core,1,Csf1r,5,1650,99.93939393939394
0,Inflammatory,BAM/CAM,2,Pf4,1,1650,1.1515151515151514
0,Inflammatory,BAM/CAM,2,Mrc1,2,1650,1.5151515151515151
0,Inflammatory,BAM/CAM,2,Lyve1,3,1650,0.06060606060606061
0,Inflammatory,BAM/CAM,2,Cd163,4,1650,0.12121212121212122
0,Inflammatory,BAM/CAM,2,F13a1,5,1650,0.18181818181818182
0,Inflammatory,Choroid-plexus-associated,3,Ttr,1,1650,53.63636363636364
0,Inflammatory,Oligodendrocyte lineage,4,Plp1,1,1650,52.78787878787878
0,Inflammatory,Oligodendrocyte lineage,4,Mbp,2,1650,48.848484848484844
0,Inflammatory,Oligodendrocyte lineage,4,Mal,3,1650,12.545454545454545
0,Inflammatory,Oligodendrocyte lineage,4,Cldn11,4,1650,10.969696969696969
0,Inflammatory,Oligodendrocyte lineage,4,Mobp,5,1650,21.515151515151516
1,Transitional-A,Microglia core,1,P2ry12,1,1381,99.7103548153512
1,Transitional-A,Microglia core,1,Tmem119,2,1381,99.7827661115134
1,Transitional-A,Microglia core,1,Cx3cr1,3,1381,100.0
1,Transitional-A,Microglia core,1,Hexb,4,1381,100.0
1,Transitional-A,Microglia core,1,Csf1r,5,1381,100.0
1,Transitional-A,BAM/CAM,2,Pf4,1,1381,0.7965242577842143
1,Transitional-A,BAM/CAM,2,Mrc1,2,1381,0.8689355539464156
1,Transitional-A,BAM/CAM,2,Lyve1,3,1381,0.2172338884866039
1,Transitional-A,BAM/CAM,2,Cd163,4,1381,0.1448225923244026
1,Transitional-A,BAM/CAM,2,F13a1,5,1381,0.3620564808110065
1,Transitional-A,Choroid-plexus-associated,3,Ttr,1,1381,46.125995655322235
1,Transitional-A,Oligodendrocyte lineage,4,Plp1,1,1381,66.2563359884142
1,Transitional-A,Oligodendrocyte lineage,4,Mbp,2,1381,54.88776249094859
1,Transitional-A,Oligodendrocyte lineage,4,Mal,3,1381,12.454742939898624
1,Transitional-A,Oligodendrocyte lineage,4,Cldn11,4,1381,13.613323678493844
1,Transitional-A,Oligodendrocyte lineage,4,Mobp,5,1381,21.433743664011587
2,Homeostatic-A,Microglia core,1,P2ry12,1,1285,97.35408560311284
2,Homeostatic-A,Microglia core,1,Tmem119,2,1285,97.8988326848249
2,Homeostatic-A,Microglia core,1,Cx3cr1,3,1285,98.28793774319065
2,Homeostatic-A,Microglia core,1,Hexb,4,1285,100.0
2,Homeostatic-A,Microglia core,1,Csf1r,5,1285,99.61089494163424
2,Homeostatic-A,BAM/CAM,2,Pf4,1,1285,0.622568093385214
2,Homeostatic-A,BAM/CAM,2,Mrc1,2,1285,0.8560311284046693
2,Homeostatic-A,BAM/CAM,2,Lyve1,3,1285,0.0
2,Homeostatic-A,BAM/CAM,2,Cd163,4,1285,0.07782101167315175
2,Homeostatic-A,BAM/CAM,2,F13a1,5,1285,0.0
2,Homeostatic-A,Choroid-plexus-associated,3,Ttr,1,1285,55.797665369649806
2,Homeostatic-A,Oligodendrocyte lineage,4,Plp1,1,1285,51.67315175097277
2,Homeostatic-A,Oligodendrocyte lineage,4,Mbp,2,1285,44.12451361867704
2,Homeostatic-A,Oligodendrocyte lineage,4,Mal,3,1285,9.961089494163424
2,Homeostatic-A,Oligodendrocyte lineage,4,Cldn11,4,1285,9.883268482490273
2,Homeostatic-A,Oligodendrocyte lineage,4,Mobp,5,1285,18.832684824902724
3,Homeostatic-B,Microglia core,1,P2ry12,1,1224,98.69281045751634
3,Homeostatic-B,Microglia core,1,Tmem119,2,1224,99.59150326797386
3,Homeostatic-B,Microglia core,1,Cx3cr1,3,1224,99.67320261437908
3,Homeostatic-B,Microglia core,1,Hexb,4,1224,100.0
3,Homeostatic-B,Microglia core,1,Csf1r,5,1224,100.0
3,Homeostatic-B,BAM/CAM,2,Pf4,1,1224,1.0620915032679739
3,Homeostatic-B,BAM/CAM,2,Mrc1,2,1224,1.2254901960784315
3,Homeostatic-B,BAM/CAM,2,Lyve1,3,1224,0.08169934640522876
3,Homeostatic-B,BAM/CAM,2,Cd163,4,1224,0.32679738562091504
3,Homeostatic-B,BAM/CAM,2,F13a1,5,1224,0.40849673202614384
3,Homeostatic-B,Choroid-plexus-associated,3,Ttr,1,1224,51.55228758169934
3,Homeostatic-B,Oligodendrocyte lineage,4,Plp1,1,1224,62.5
