partition,traceability_name,gene,gene_order,n_cells,mean_log1p_cp10k,pct_detected,selection_status
0,Inflammatory,P2ry12,1,1650,2.375896692276001,99.03030303030303,author-selected descriptive panel
0,Inflammatory,Tmem119,2,1650,2.209024429321289,97.45454545454545,author-selected descriptive panel
0,Inflammatory,Cx3cr1,3,1650,2.912370443344116,99.57575757575758,author-selected descriptive panel
0,Inflammatory,Tnf,4,1650,2.230443000793457,94.24242424242424,author-selected descriptive panel
0,Inflammatory,Il1b,5,1650,1.7755944728851318,68.3030303030303,author-selected descriptive panel
0,Inflammatory,Irf7,6,1650,0.14967063069343567,15.878787878787879,author-selected descriptive panel
0,Inflammatory,Ifitm3,7,1650,0.39802032709121704,32.484848484848484,author-selected descriptive panel
0,Inflammatory,Nr1d1,8,1650,0.08073905855417252,9.454545454545455,author-selected descriptive panel
0,Inflammatory,Dbp,9,1650,0.13643379509449005,14.969696969696969,author-selected descriptive panel
1,Transitional-A,P2ry12,1,1381,2.857651948928833,99.7103548153512,author-selected descriptive panel
1,Transitional-A,Tmem119,2,1381,2.6418206691741943,99.7827661115134,author-selected descriptive panel
1,Transitional-A,Cx3cr1,3,1381,3.274143934249878,100.0,author-selected descriptive panel
1,Transitional-A,Tnf,4,1381,1.3607146739959717,78.56625633598841,author-selected descriptive panel
1,Transitional-A,Il1b,5,1381,0.5662038326263428,31.13685734974656,author-selected descriptive panel
1,Transitional-A,Irf7,6,1381,0.03722826763987541,3.837798696596669,author-selected descriptive panel
1,Transitional-A,Ifitm3,7,1381,0.0733068436384201,7.530774800868937,author-selected descriptive panel
1,Transitional-A,Nr1d1,8,1381,0.15785817801952362,15.423606082548877,author-selected descriptive panel
1,Transitional-A,Dbp,9,1381,0.28728699684143066,27.7335264301231,author-selected descriptive panel
2,Homeostatic-A,P2ry12,1,1285,2.5314111709594727,97.35408560311284,author-selected descriptive panel
2,Homeostatic-A,Tmem119,2,1285,2.231710433959961,97.8988326848249,author-selected descriptive panel
2,Homeostatic-A,Cx3cr1,3,1285,2.8363256454467773,98.28793774319065,author-selected descriptive panel
2,Homeostatic-A,Tnf,4,1285,1.8521772623062134,88.09338521400778,author-selected descriptive panel
2,Homeostatic-A,Il1b,5,1285,1.1481820344924927,53.0739299610895,author-selected descriptive panel
2,Homeostatic-A,Irf7,6,1285,0.06589515507221222,7.8599221789883265,author-selected descriptive panel
2,Homeostatic-A,Ifitm3,7,1285,0.20216339826583862,19.45525291828794,author-selected descriptive panel
2,Homeostatic-A,Nr1d1,8,1285,0.06642846763134003,7.8599221789883265,author-selected descriptive panel
2,Homeostatic-A,Dbp,9,1285,0.15566222369670868,16.264591439688715,author-selected descriptive panel
3,Homeostatic-B,P2ry12,1,1224,2.7870285511016846,98.69281045751634,author-selected descriptive panel
3,Homeostatic-B,Tmem119,2,1224,2.4697821140289307,99.59150326797386,author-selected descriptive panel
3,Homeostatic-B,Cx3cr1,3,1224,3.128368616104126,99.67320261437908,author-selected descriptive panel
3,Homeostatic-B,Tnf,4,1224,1.4866762161254883,80.9640522875817,author-selected descriptive panel
3,Homeostatic-B,Il1b,5,1224,0.7078227400779724,37.66339869281046,author-selected descriptive panel
3,Homeostatic-B,Irf7,6,1224,0.03971702232956886,4.003267973856209,author-selected descriptive panel
3,Homeostatic-B,Ifitm3,7,1224,0.08397543430328369,8.741830065359476,author-selected descriptive panel
3,Homeostatic-B,Nr1d1,8,1224,0.11471918225288391,12.663398692810457,author-selected descriptive panel
3,Homeostatic-B,Dbp,9,1224,0.19649255275726318,20.098039215686274,author-selected descriptive panel
4,Homeostatic-C,P2ry12,1,1209,3.030149221420288,99.25558312655087,author-selected descriptive panel
4,Homeostatic-C,Tmem119,2,1209,2.7197563648223877,99.75186104218362,author-selected descriptive panel
4,Homeostatic-C,Cx3cr1,3,1209,3.3843328952789307,99.9172870140612,author-selected descriptive panel
4,Homeostatic-C,Tnf,4,1209,0.7021569013595581,48.38709677419355,author-selected descriptive panel
4,Homeostatic-C,Il1b,5,1209,0.2923137843608856,18.031430934656743,author-selected descriptive panel
4,Homeostatic-C,Irf7,6,1209,0.016392234712839127,1.7369727047146404,author-selected descriptive panel
4,Homeostatic-C,Ifitm3,7,1209,0.046341877430677414,4.631927212572374,author-selected descriptive panel
4,Homeostatic-C,Nr1d1,8,1209,0.150493785738945,13.978494623655912,author-selected descriptive panel
4,Homeostatic-C,Dbp,9,1209,0.2374279648065567,21.339950372208435,author-selected descriptive panel
5,Transitional-B,P2ry12,1,618,2.3517820835113525,80.74433656957929,author-selected descriptive panel
5,Transitional-B,Tmem119,2,618,2.4625887870788574,88.18770226537217,author-selected descriptive panel
5,Transitional-B,Cx3cr1,3,618,3.016516923904419,90.77669902912622,author-selected descriptive panel
5,Transitional-B,Tnf,4,618,0.5151069164276123,26.051779935275082,author-selected descriptive panel
5,Transitional-B,Il1b,5,618,0.23922689259052277,11.488673139158575,author-selected descriptive panel
5,Transitional-B,Irf7,6,618,0.03272932022809982,2.4271844660194173,author-selected descriptive panel
5,Transitional-B,Ifitm3,7,618,0.11421986669301987,9.385113268608414,author-selected descriptive panel
5,Transitional-B,Nr1d1,8,618,0.04151620343327522,3.559870550161812,author-selected descriptive panel
5,Transitional-B,Dbp,9,618,0.08965896815061569,6.634304207119741,author-selected descriptive panel
6,Rare,P2ry12,1,94,2.2091100215911865,97.87234042553192,author-selected descriptive panel
6,Rare,Tmem119,2,94,1.9547377824783325,97.87234042553192,author-selected descriptive panel
6,Rare,Cx3cr1,3,94,2.769315004348755,100.0,author-selected descriptive panel
6,Rare,Tnf,4,94,1.2416125535964966,79.7872340425532,author-selected descriptive panel
6,Rare,Il1b,5,94,0.4885992407798767,36.17021276595745,author-selected descriptive panel
6,Rare,Irf7,6,94,0.029731350019574165,4.25531914893617,author-selected descriptive panel
6,Rare,Ifitm3,7,94,0.10644405335187912,12.76595744680851,author-selected descriptive panel
6,Rare,Nr1d1,8,94,0.12426726520061493,20.212765957446805,author-selected descriptive panel
6,Rare,Dbp,9,94,0.179716557264328,26.595744680851062,author-selected descriptive panel
