seed_row,seed_column,adjusted_rand_index,n_partitions,adjusted_rand_index_vs_submitted
0,0,1,7,1
0,1,0.4909241455388157,7,1
0,7,0.5858529047117915,7,1
0,42,0.5127939875974998,7,1
0,123,0.4033111527516049,7,1
0,2024,0.5165138553705313,7,1
1,0,0.4909241455388157,6,0.4909241455388157
1,1,1,6,0.4909241455388157
1,7,0.6457588186483372,6,0.4909241455388157
1,42,0.408352490092331,6,0.4909241455388157
1,123,0.7142856983980413,6,0.4909241455388157
1,2024,0.4461221457000964,6,0.4909241455388157
7,0,0.5858529047117915,7,0.5858529047117915
7,1,0.6457588186483372,7,0.5858529047117915
7,7,1,7,0.5858529047117915
7,42,0.5392338031489431,7,0.5858529047117915
7,123,0.5919823963927185,7,0.5858529047117915
7,2024,0.6047913173431048,7,0.5858529047117915
42,0,0.5127939875974998,7,0.5127939875974998
42,1,0.408352490092331,7,0.5127939875974998
42,7,0.5392338031489431,7,0.5127939875974998
42,42,1,7,0.5127939875974998
42,123,0.364530891923689,7,0.5127939875974998
42,2024,0.6914729696711854,7,0.5127939875974998
123,0,0.4033111527516049,6,0.4033111527516049
123,1,0.7142856983980413,6,0.4033111527516049
123,7,0.5919823963927185,6,0.4033111527516049
123,42,0.364530891923689,6,0.4033111527516049
123,123,1,6,0.4033111527516049
123,2024,0.4229903235775568,6,0.4033111527516049
2024,0,0.5165138553705313,7,0.5165138553705313
2024,1,0.4461221457000964,7,0.5165138553705313
2024,7,0.6047913173431048,7,0.5165138553705313
2024,42,0.6914729696711854,7,0.5165138553705313
2024,123,0.4229903235775568,7,0.5165138553705313
2024,2024,1,7,0.5165138553705313
