graph_scope,leiden_resolution,seed_a,seed_b,adjusted_rand_index
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,0,1,0.4909241455388157
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,0,7,0.5858529047117915
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,0,42,0.5127939875974998
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,0,123,0.4033111527516049
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,0,2024,0.5165138553705313
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,1,7,0.6457588186483372
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,1,42,0.408352490092331
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,1,123,0.7142856983980413
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,1,2024,0.4461221457000964
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,7,42,0.5392338031489431
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,7,123,0.5919823963927185
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,7,2024,0.6047913173431048
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,42,123,0.364530891923689
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,42,2024,0.6914729696711854
Exact graph stored in adata_microglia_subtyped.h5ad,0.4,123,2024,0.4229903235775568
