graph_scope,n_subsampling_runs,leiden_resolution,reconstructed_partition_id,n_cells,mean_best_match_jaccard,mean_jaccard_ge_0.75,small_partition_le_150_cells
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.1,0,4455,0.5923450056710136,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.1,1,2920,0.5530393669466455,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.1,2,86,0.984028262738576,TRUE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.2,0,3859,0.6163243454494755,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.2,1,2879,0.745287562042901,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.2,2,629,0.44632679639623785,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.2,3,94,0.9340529674921312,TRUE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,0,2785,0.588777006938227,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,1,2402,0.5348129079257787,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,2,1491,0.656095095811802,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,3,678,0.5859030300196134,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,4,93,0.947495667729528,TRUE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.3,5,12,0.036971764580961367,FALSE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,0,2133,0.5027007413345045,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,1,1581,0.6295727224105322,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,2,1565,0.6084914421972087,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,3,1443,0.5624565868610976,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,4,634,0.699216803022153,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,5,93,0.9572764780567612,TRUE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.4,6,12,0.117817088521926,FALSE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,0,1319,0.6000446917987211,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,1,1147,0.46519605683901255,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,2,1117,0.6741290213341352,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,3,1090,0.4730132009640569,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,4,1084,0.42728916185656934,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,5,993,0.7558791751005725,TRUE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,6,603,0.5060465878423739,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,7,93,0.9648167174455922,TRUE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.5,8,15,0.19185741459996689,FALSE,TRUE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,0,1396,0.401834903741417,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,1,1243,0.559008987649211,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,2,1199,0.4652832193318712,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,3,1183,0.6289349596350529,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,4,990,0.7542100002443312,TRUE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,5,510,0.5455077255433473,FALSE,FALSE
Full-cohort reference graph and each 80% subsample graph rebuilt from inherited whole-cell PC1-PC20; 15 neighbors,30,0.6,6,430,0.4096810888443967,FALSE,FALSE
