gene,gene_order,sample,source_group,display_group,alternative_minus_primary_log2_cpm
Irf7,1,C1,Control,Oxygen control,0.00600322588727086
Irf7,1,C2,Control,Oxygen control,0.04195653832359714
Irf7,1,C3,Control,Oxygen control,-0.0075910515281925
Irf7,1,S1,Surgery,Combined exposure,0.00725700839800635
Irf7,1,S2,Surgery,Combined exposure,0
Irf7,1,S3,Surgery,Combined exposure,0.01209696101304125
Ifitm3,2,C1,Control,Oxygen control,-0.00162673481925779
Ifitm3,2,C2,Control,Oxygen control,-0.00854294368404406
Ifitm3,2,C3,Control,Oxygen control,0.00900467225909995
Ifitm3,2,S1,Surgery,Combined exposure,-0.00938965753399934
Ifitm3,2,S2,Surgery,Combined exposure,0
Ifitm3,2,S3,Surgery,Combined exposure,0.01038816789036278
Isg15,3,C1,Control,Oxygen control,-0.11009993486776716
Isg15,3,C2,Control,Oxygen control,-0.04639933609725055
Isg15,3,C3,Control,Oxygen control,-0.08167345284244742
Isg15,3,S1,Surgery,Combined exposure,0.0072570083980068
Isg15,3,S2,Surgery,Combined exposure,0
Isg15,3,S3,Surgery,Combined exposure,-0.03512305232311696
Mx1,4,C1,Control,Oxygen control,-0.2141713701993586
Mx1,4,C2,Control,Oxygen control,-0.19905156118019812
Mx1,4,C3,Control,Oxygen control,-0.0996556556029986
Mx1,4,S1,Surgery,Combined exposure,0.00725700839800658
Mx1,4,S2,Surgery,Combined exposure,0
Mx1,4,S3,Surgery,Combined exposure,0.03908952023638878
Ifit1,5,C1,Control,Oxygen control,0.03736739679660578
Ifit1,5,C2,Control,Oxygen control,0.04195653832359697
Ifit1,5,C3,Control,Oxygen control,-0.01714535824144159
Ifit1,5,S1,Surgery,Combined exposure,0.00725700839800658
Ifit1,5,S2,Surgery,Combined exposure,0
Ifit1,5,S3,Surgery,Combined exposure,0.00226493651725778
Ifit2,6,C1,Control,Oxygen control,0.03736739679660594
Ifit2,6,C2,Control,Oxygen control,0.04195653832359669
Ifit2,6,C3,Control,Oxygen control,-0.12664372317195605
Ifit2,6,S1,Surgery,Combined exposure,0.0072570083980068
Ifit2,6,S2,Surgery,Combined exposure,0
Ifit2,6,S3,Surgery,Combined exposure,-0.05364065668901574
Ifit3,7,C1,Control,Oxygen control,0.03736739679660594
Ifit3,7,C2,Control,Oxygen control,0.04195653832359669
Ifit3,7,C3,Control,Oxygen control,-0.01616609803694135
Ifit3,7,S1,Surgery,Combined exposure,-0.01250624642342312
Ifit3,7,S2,Surgery,Combined exposure,0
Ifit3,7,S3,Surgery,Combined exposure,8.7390813315391e-4
