sample,group,gene,n_features_summed,primary_gene_umi,integrated_gene_umi,primary_total_umi,integrated_total_umi,primary_log2_cpm,integrated_log2_cpm,integrated_minus_primary_log2_cpm
C1,Control,Irf7,1,46,45,8028456,7823180,2.5340360702335487,2.5400392961208196,0.006003225887270869
C1,Control,Ifitm3,1,112,109,8028456,7823180,3.8086584503425547,3.807031715523297,-0.0016267348192577913
C1,Control,Isg15,1,123,111,8028456,7823180,3.943244490710195,3.833144555842428,-0.11009993486776715
C1,Control,Mx1,1,12,10,8028456,7823180,0.6387334489002422,0.4245620787008836,-0.2141713701993586
C1,Control,Ifit1,1,10,10,8028456,7823180,0.3871946819042778,0.4245620787008836,0.03736739679660578
C1,Control,Ifit2,1,20,20,8028456,7823180,1.352429263743601,1.389796660540207,0.037367396796605945
C1,Control,Ifit3,1,64,64,8028456,7823180,3.0061045145487717,3.0434719113453776,0.037367396796605945
C2,Control,Irf7,1,38,38,6174562,5997579,2.640449506028748,2.682406044352345,0.04195653832359714
C2,Control,Ifitm3,1,203,196,6174562,5997579,5.042547949600094,5.0340050059160495,-0.008542943684044069
C2,Control,Isg15,1,151,142,6174562,5997579,4.616836948806798,4.570437612709547,-0.046399336097250554
C2,Control,Mx1,1,6,5,6174562,5997579,0.07410268347493891,-0.12494887770525921,-0.19905156118019812
C2,Control,Ifit1,1,4,4,6174562,5997579,-0.45641203322384094,-0.41445549490024397,0.04195653832359697
C2,Control,Ifit2,1,12,12,6174562,5997579,1.0175191551085714,1.059475693432168,0.04195653832359669
C2,Control,Ifit3,1,29,29,6174562,5997579,2.256306014695688,2.298262553019285,0.04195653832359669
C3,Control,Irf7,1,52,50,9706204,9385699,2.4353381867871584,2.427747135258966,-0.007591051528192505
C3,Control,Ifitm3,1,222,216,9706204,9385699,4.518754194974796,4.527758867233896,0.009004672259099955
C3,Control,Isg15,1,243,222,9706204,9385699,4.648870631203378,4.567197178360931,-0.08167345284244742
C3,Control,Mx1,1,20,18,9706204,9385699,1.0786446737391193,0.9789890181361207,-0.0996556556029986
C3,Control,Ifit1,1,22,21,9706204,9385699,1.2129457654507105,1.195800407209269,-0.01714535824144159
C3,Control,Ifit2,1,17,15,9706204,9385699,0.8503756860660021,0.7237319628940461,-0.12664372317195605
C3,Control,Ifit3,1,68,65,9706204,9385699,2.8191247520815623,2.802958654044621,-0.016166098036941356
S1,Surgery,Irf7,1,109,109,10096172,10045514,3.439050428192785,3.4463074365907915,0.007257008398006359
S1,Surgery,Ifitm3,1,261,258,10096172,10045514,4.694930504838553,4.685540847304553,-0.00938965753399934
S1,Surgery,Isg15,1,225,225,10096172,10045514,4.481246991846993,4.488504000244999,0.007257008398006803
S1,Surgery,Mx1,1,36,36,10096172,10045514,1.8540879274716289,1.8613449358696355,0.007257008398006581
S1,Surgery,Ifit1,1,36,36,10096172,10045514,1.8540879274716289,1.8613449358696355,0.007257008398006581
S1,Surgery,Ifit2,1,57,57,10096172,10045514,2.5097534195359867,2.5170104279339935,0.007257008398006803
S1,Surgery,Ifit3,1,73,72,10096172,10045514,2.863935713427976,2.851429467004553,-0.012506246423423129
S2,Surgery,Irf7,1,59,59,12003647,12003647,2.309416749944902,2.309416749944902,0.0
S2,Surgery,Ifitm3,1,187,187,12003647,12003647,3.965345772020202,3.965345772020202,0.0
S2,Surgery,Isg15,1,230,230,12003647,12003647,4.263221927066296,4.263221927066296,0.0
S2,Surgery,Mx1,1,30,30,12003647,12003647,1.3453363241998448,1.3453363241998448,0.0
S2,Surgery,Ifit1,1,14,14,12003647,12003647,0.2725799817645306,0.2725799817645306,0.0
S2,Surgery,Ifit2,1,45,45,12003647,12003647,1.922393626835655,1.922393626835655,0.0
S2,Surgery,Ifit3,1,83,83,12003647,12003647,2.798303279111011,2.798303279111011,0.0
S3,Surgery,Irf7,1,436,422,11252901,10801036,5.277612644089977,5.289709605103019,0.012096961013041252
S3,Surgery,Ifitm3,1,1896,1833,11252901,10801036,7.396898456754775,7.407286624645137,0.010388167890362787
S3,Surgery,Isg15,1,885,829,11252901,10801036,6.298123297212452,6.263000244889335,-0.035123052323116966
S3,Surgery,Mx1,1,72,71,11252901,10801036,2.6876838904754723,2.726773410711861,0.039089520236388786
S3,Surgery,Ifit1,1,103,99,11252901,10801036,3.2012617579598626,3.2035266944771204,0.0022649365172577873
S3,Surgery,Ifit2,1,66,61,11252901,10801036,2.563057235961727,2.5094165792727114,-0.05364065668901574
S3,Surgery,Ifit3,1,328,315,11252901,10801036,4.867524360782867,4.868398268916021,0.0008739081331539111
