input,path,role,biological_replication_added,sha256
primary_counts,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse267933_primary_commoncell_pseudobulk_counts.csv.gz,Frozen primary common-cell pseudobulk counts,FALSE,837c67a5703aa438d6042b741306d6e7af34e327b118dfb0e262cd4db46c8e8c
alternative_counts,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_integrated_commoncell_pseudobulk_counts.csv.gz,GSE289098 common-cell pseudobulk counts,FALSE,29a207e3a313e92be29901b30b12400032b029e19b4d834fb106e8463971236e
annotation,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_gene_annotation.csv,Exact feature ID and symbol mapping,FALSE,339200ab3785c8927d6bf357edf58e4d8bb10801bb3fb85bdcfeebc49fdef375
selected_values,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_selected_gene_payload_values.csv,Paired selected-gene counts and direct values,FALSE,6dc869122a0de78a9989559112e88a72d90ae7156b76554ed3b267dcab1837f5
panel_values,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_panel_animal_values.csv,Paired animal-level panel preflight values,FALSE,a32b045634f6587f3dca2b3af228bc4c472c8fbcd33336babeab4ce324c66647
common_count_audit,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_common_cell_count_audit.csv,Per-animal common-cell counts and denominators,FALSE,20c487d8afeaec1c14b82a2ef6d35cdd439a9638970013a30a9667c8c9d674dd
library_mapping,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_library_mapping.csv,GSM/BioSample/SRX/suffix provenance mapping,FALSE,78465374c022a1cb855c4edb0e8dbddc3d1cc2c16ce8172cc3087444de3607c8
barcode_audit,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_barcode_audit.csv,Full barcode and retained-cell overlap audit,FALSE,251c5929495f56793ccb5dbe8689d650d6f4daf673dc62e57a080aa99f3140bc
library_payload_audit,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_payload_library_audit.csv,Per-library all-cell count-payload audit,FALSE,a5701cb62d609c794a9600f6bd6db353de79db1fce3c10839f83a43a8884dd5f
global_payload_audit,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_payload_global_audit.csv,Global count-payload audit,FALSE,ab0c33645300749cf75b7a56e45ce212887316231a4b07a23091a9759a083005
preflight_gate,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figureS3/data/preflight/gse289098_gate_table.csv,Preflight gate table,FALSE,2709ac3ab34a5d9ecb35716f13288da92f17e9b900b1fb67735a7bfb2967e813
fig02_gene_values,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/data/panel_ready/fig02_gene_values.csv,Frozen Figure 2 gene-value positive control,FALSE,dadcab26a42df05704c048bc63e8d43d1774cc26888dbb196f74f3ed122c1342
fig02_panel_values,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/data/panel_ready/fig02_panel_values.csv,Frozen Figure 2 panel-value positive control,FALSE,40d81c599775f33a1a07c59a9c8669590b9245f31e4ebe50b8ed6ca9616568a3
fig02_panel_effect,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/data/panel_ready/fig02_panel_effect.csv,Frozen Figure 2 full-panel positive control,FALSE,c4e8a6b2d0a45a912d5bac489cdbff8da0a8961ddfb8d476b3d80c4f522aab9e
fig02_panel_loo,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/data/panel_ready/fig02_panel_loo.csv,Frozen Figure 2 panel-LOO positive control,FALSE,8d74239cb4200b002063009a1fc93ea753a592011b9412428836010d2b2481c7
fig02_deseq2,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/data/panel_ready/fig02_deseq2.csv,Frozen Figure 2 DESeq2 positive control,FALSE,ccfc40c3cbb95ddf5e61a87d0434f563892b0a83989a6320e00f676633f14547
table_s3_effects,REPOSITORY_BUILD_SOURCE/revision_work/results_rebuild/figure2/outputs/tableS3/TableS3_direct_and_deseq2_effects.csv,Frozen Table S3 direct-effect positive control,FALSE,9edaa55be972b5f77910f69f36443af264e11b94c54c1e49ee6b6047979119be
