outcome_type,outcome,sample,source_group,display_group,primary_gene_umi,alternative_gene_umi,primary_total_umi,alternative_total_umi,primary_value,alternative_value,alternative_minus_primary,metric
gene,Irf7,C1,Control,Oxygen control,46,45,8028456,7823180,2.5340360702335487,2.5400392961208196,0.00600322588727086,Gene-level pseudobulk log2-CPM
gene,Irf7,C2,Control,Oxygen control,38,38,6174562,5997579,2.640449506028748,2.682406044352345,0.04195653832359714,Gene-level pseudobulk log2-CPM
gene,Irf7,C3,Control,Oxygen control,52,50,9706204,9385699,2.4353381867871584,2.427747135258966,-0.0075910515281925,Gene-level pseudobulk log2-CPM
gene,Irf7,S1,Surgery,Combined exposure,109,109,10096172,10045514,3.439050428192785,3.4463074365907915,0.00725700839800635,Gene-level pseudobulk log2-CPM
gene,Irf7,S2,Surgery,Combined exposure,59,59,12003647,12003647,2.309416749944902,2.309416749944902,0,Gene-level pseudobulk log2-CPM
gene,Irf7,S3,Surgery,Combined exposure,436,422,11252901,10801036,5.277612644089977,5.289709605103019,0.01209696101304125,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C1,Control,Oxygen control,112,109,8028456,7823180,3.8086584503425542,3.807031715523297,-0.00162673481925779,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C2,Control,Oxygen control,203,196,6174562,5997579,5.042547949600094,5.0340050059160495,-0.00854294368404406,Gene-level pseudobulk log2-CPM
gene,Ifitm3,C3,Control,Oxygen control,222,216,9706204,9385699,4.518754194974796,4.527758867233896,0.00900467225909995,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S1,Surgery,Combined exposure,261,258,10096172,10045514,4.694930504838553,4.685540847304553,-0.00938965753399934,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S2,Surgery,Combined exposure,187,187,12003647,12003647,3.965345772020202,3.965345772020202,0,Gene-level pseudobulk log2-CPM
gene,Ifitm3,S3,Surgery,Combined exposure,1896,1833,11252901,10801036,7.396898456754775,7.407286624645137,0.01038816789036278,Gene-level pseudobulk log2-CPM
gene,Isg15,C1,Control,Oxygen control,123,111,8028456,7823180,3.943244490710195,3.833144555842428,-0.11009993486776716,Gene-level pseudobulk log2-CPM
