outcome,dropped_animal,dropped_source_group,scenario,scenario_order,primary_n_combined_exposure,gse289098_n_combined_exposure,primary_n_oxygen_control,gse289098_n_oxygen_control,primary_mean_difference,gse289098_mean_difference,primary_mean_difference_ci95_low,gse289098_mean_difference_ci95_low,primary_mean_difference_ci95_high,gse289098_mean_difference_ci95_high,primary_cohens_d,gse289098_cohens_d,primary_exact_permutation_p,gse289098_exact_permutation_p,primary_perfect_group_separation,gse289098_perfect_group_separation,alternative_minus_primary_difference,sign_concordant
Irf7,(none),NA,Full cohort,1,3,3,3,3,1.1387520197260699,1.131747105302194,-2.558541081349739,-2.567370128046023,4.836045120801879,4.830864338650411,1.0724464240869325,1.0603454943318524,0.4,0.4,FALSE,FALSE,-0.007004914423875963,TRUE
Irf7,C1,Control,Drop C1,2,3,3,2,2,1.1374660943346018,1.1267346740739153,-2.5143550777479016,-2.505700782674231,4.789287266417105,4.759170130822062,0.9277180675203801,0.9142342300302332,NA,NA,FALSE,FALSE,-0.01073142026068652,TRUE
Irf7,C2,Control,Drop C2,3,3,3,2,2,1.1906728122322012,1.197918048189678,-2.5139966996549727,-2.516591748238178,4.895342324119375,4.912427844617534,0.9728585614751509,0.9747904922125334,NA,NA,FALSE,FALSE,0.007245235957476837,TRUE
Irf7,C3,Control,Drop C3,4,3,3,2,2,1.0881171526114062,1.0705885936429884,-2.613848359974288,-2.6311029368667445,4.790082665197101,4.772280124152721,0.8889855293319656,0.8708098367168589,NA,NA,FALSE,FALSE,-0.017528558968417762,TRUE
Irf7,S1,Surgery,Drop S1,5,2,2,3,3,1.2569067760009545,1.249499018946583,-17.47429595799109,-17.490990517428454,19.988109509992995,19.98998855532162,1.0347875294432796,1.0232119173947103,NA,NA,FALSE,FALSE,-0.0074077570543713556,TRUE
Irf7,S2,Surgery,Drop S2,6,2,2,3,3,1.8217236151248968,1.817944362269528,-9.657560606685559,-9.585548264879396,13.301007836935353,13.221436989418454,2.412085141412604,2.392831661073792,NA,NA,TRUE,TRUE,-0.003779252855368842,TRUE
Irf7,S3,Surgery,Drop S3,7,2,2,3,3,0.33762566805235883,0.3277979346904698,-6.520727648567346,-6.4169794123871,7.195978984672063,7.072575281768039,0.720321811338284,0.689103147519503,NA,NA,FALSE,FALSE,-0.009827733361889024,TRUE
Ifitm3,(none),NA,Full cohort,1,3,3,3,3,0.8957380462320286,0.8964592184322173,-3.090738771387011,-3.112278173285314,4.882214863851068,4.905196610149749,0.6629104102561197,0.6612569468241769,0.6,0.6,FALSE,FALSE,7.211722001887466e-4,TRUE
Ifitm3,C1,Control,Drop C1,2,3,3,2,2,0.5717405055837324,0.571842478081658,-3.6108194014853083,-3.645699298199114,4.754300412652773,4.78938425436243,0.38334339103119763,0.3820976070519711,NA,NA,FALSE,FALSE,1.0197249792565088e-4,TRUE
Ifitm3,C2,Control,Drop C2,3,3,3,2,2,1.1886852552125013,1.1853291232780343,-2.841166083012676,-2.8559547595202988,5.218536593437679,5.226613006076367,0.7902194399792861,0.7843784800935047,NA,NA,FALSE,FALSE,-0.0033561319344670437,TRUE
