outcome_type,outcome,metric,n_genes,genes,n_exposed,n_control,exposed_mean,control_mean,cohens_d_point_estimate,perfect_group_separation,exposed_values,control_values,mean_difference,welch_se,welch_df,ci_level,mean_difference_ci_low,mean_difference_ci_high,exact_perm_hits,exact_perm_allocations,exact_perm_p
gene,Irf7,pseudobulk_log2cpm,1,Irf7,3,3,3.675359940742555,2.536607921016485,1.0724464240869325,False,S1:3.439050428;S2:2.30941675;S3:5.277612644,C1:2.53403607;C2:2.640449506;C3:2.435338187,1.1387520197260699,0.8669776967390119,2.0187529137536835,0.95,-2.55854108134974,4.836045120801879,8,20,0.4
gene,Ifitm3,pseudobulk_log2cpm,1,Ifitm3,3,3,5.352391577871177,4.456653531639148,0.6629104102561197,False,S1:4.694930505;S2:3.965345772;S3:7.396898457,C1:3.80865845;C2:5.04254795;C3:4.518754195,0.8957380462320286,1.1032668077617975,2.463028428712513,0.95,-3.0907387713869854,4.8822148638510425,12,20,0.6
gene,Isg15,pseudobulk_log2cpm,1,Isg15,3,3,5.0141974053752465,4.402984023573457,0.7287176350288986,False,S1:4.481246992;S2:4.263221927;S3:6.298123297,C1:3.943244491;C2:4.616836949;C3:4.648870631,0.6112133818017895,0.6848381491942939,2.5007037494043383,0.95,-1.8363537880021288,3.058780551605708,12,20,0.6
gene,Mx1,pseudobulk_log2cpm,1,Mx1,3,3,1.9623693807156488,0.5971602687047668,2.286746660367996,True,S1:1.854087927;S2:1.345336324;S3:2.68768389,C1:0.6387334489;C2:0.07410268347;C3:1.078644674,1.365209112010882,0.4874560840197665,3.6925388973735234,0.95,-0.033808868997245334,2.7642270930190094,2,20,0.1
gene,Ifit1,pseudobulk_log2cpm,1,Ifit1,3,3,1.7759765557320073,0.38124280471038247,1.169285253779402,False,S1:1.854087927;S2:0.2725799818;S3:3.201261758,C1:0.3871946819;C2:-0.4564120332;C3:1.212945765,1.394733751021625,0.973924314304664,3.173532979034053,0.95,-1.611019572767702,4.400487074810952,6,20,0.3
gene,Ifit2,pseudobulk_log2cpm,1,Ifit2,3,3,2.3317347607777896,1.0734413683060582,4.063873094851971,True,S1:2.50975342;S2:1.922393627;S3:2.563057236,C1:1.352429264;C2:1.017519155;C3:0.8503756861,1.2582933924717314,0.2528111062470422,3.632136284815478,0.95,0.5274317733378795,1.9891550116055834,2,20,0.1
gene,Ifit3,pseudobulk_log2cpm,1,Ifit3,3,3,3.5099211177739513,2.693845093775341,0.9313022537933789,False,S1:2.863935713;S2:2.798303279;S3:4.867524361,C1:3.006104515;C2:2.256306015;C3:2.819124752,0.8160760239986105,0.7154747888324026,2.4351512032684557,0.95,-1.7908933202253623,3.423045368222583,10,20,0.5
gene,Fos,pseudobulk_log2cpm,1,Fos,3,3,12.024664361061694,11.673582500653305,3.0356868838506137,True,S1:11.88284552;S2:12.08568389;S3:12.10546367,C1:11.79731789;C2:11.62096005;C3:11.60246956,0.35108186040838874,0.09442908627176484,3.928303087535217,0.95,0.08700671531294957,0.6151570055038279,2,20,0.1
gene,Fosb,pseudobulk_log2cpm,1,Fosb,3,3,8.950262726248832,9.51812504158127,-1.605730301826095,False,S1:8.976153562;S2:9.400174128;S3:8.474460488,C1:9.6374931;C2:9.301255765;C3:9.61562626,-0.5678623153324374,0.288751877185944,2.6418514477349246,0.95,-1.5614584343730717,0.4257338037081969,4,20,0.2
gene,Jun,pseudobulk_log2cpm,1,Jun,3,3,12.563433593272942,12.031812054550224,2.0614631644100103,True,S1:12.73851984;S2:12.61098019;S3:12.34080075,C1:12.26234064;C2:11.68870636;C3:12.14438917,0.5316215387227174,0.2105626606424788,3.495545112616658,0.95,-0.08781881352902876,1.1510618909744637,2,20,0.1
gene,Junb,pseudobulk_log2cpm,1,Junb,3,3,12.687600363412303,12.363091045328238,1.8109299491115807,True,S1:12.91290442;S2:12.5783371;S3:12.57155958,C1:12.45586101;C2:12.1764065;C3:12.45700562,0.3245093180840648,0.14631198121429997,3.866264256406155,0.95,-0.08731999011280378,0.7363386262809334,2,20,0.1
gene,Jund,pseudobulk_log2cpm,1,Jund,3,3,11.860347909785856,12.04399661734964,-1.5042520451279777,False,S1:11.82691039;S2:11.87446281;S3:11.87967053,C1:12.13839998;C2:11.84752723;C3:12.14606264,-0.18364870756378338,0.09968312311974802,2.1166395487327065,0.95,-0.5906787379274259,0.22338132279985917,6,20,0.3
gene,Egr1,pseudobulk_log2cpm,1,Egr1,3,3,11.652116153648741,11.269578342835919,1.9871872502230048,True,S1:11.73381803;S2:11.76445035;S3:11.45808008,C1:11.4400538;C2:11.02992022;C3:11.338761,0.38253781081282234,0.1571773442936469,3.796252304663251,0.95,-0.06325050215305789,0.8283261237787025,2,20,0.1
gene,Atf3,pseudobulk_log2cpm,1,Atf3,3,3,11.565864604578069,11.556478889410975,0.040666131744115486,False,S1:11.69873996;S2:11.78547366;S3:11.21338019,C1:11.59179494;C2:11.43617294;C3:11.64146879,0.009385715167093522,0.188446847900705,2.4757751772999153,0.95,-0.6689860538873695,0.6877574842215566,20,20,1.0
gene,Ier2,pseudobulk_log2cpm,1,Ier2,3,3,11.139494234084284,10.406878292643412,5.016425224904666,True,S1:11.29228164;S2:10.91503633;S3:11.21116473,C1:10.4071163;C2:10.34995857;C3:10.46356001,0.732615941440871,0.11924396049000938,2.325115475905149,0.95,0.2825228368149868,1.1827090460667553,2,20,0.1
gene,Dusp1,pseudobulk_log2cpm,1,Dusp1,3,3,10.337414718894138,10.376335578571444,-0.20241299060860513,False,S1:10.21133864;S2:10.27767211;S3:10.52323341,C1:10.36195068;C2:10.59984934;C3:10.16720671,-0.038920859677306296,0.1569995520432639,3.728516243752566,0.95,-0.4876286914240081,0.4097869720693955,16,20,0.8
gene,Zfp36,pseudobulk_log2cpm,1,Zfp36,3,3,11.402236619398861,11.316685344936525,0.743541309935663,False,S1:11.54118793;S2:11.40361644;S3:11.26190548,C1:11.38265901;C2:11.34462264;C3:11.22277438,0.08555127446233612,0.09394545018426897,3.26858102883342,0.95,-0.19999625111839542,0.37109880004306767,8,20,0.4
gene,Hspa1a,pseudobulk_log2cpm,1,Hspa1a,3,3,8.676792813009042,8.607637854065432,0.155671990507601,False,S1:9.334144957;S2:8.176357966;S3:8.519875517,C1:8.470357386;C2:8.840504174;C3:8.512052003,0.06915495894361001,0.36271642282943534,2.4588041083430805,0.95,-1.2431063468416172,1.3814162647288373,16,20,0.8
gene,Hspa1b,pseudobulk_log2cpm,1,Hspa1b,3,3,6.837041086339858,7.46817747029359,-0.8349319996217669,False,S1:7.994900193;S2:6.307141803;S3:6.209081262,C1:7.211016816;C2:7.888869996;C3:7.3046456,-0.6311363839537316,0.617200801778775,2.526063958890555,0.95,-2.8212140895609314,1.5589413216534682,8,20,0.4
gene,Socs3,pseudobulk_log2cpm,1,Socs3,3,3,10.188879693431595,9.736181985315746,1.0164671192380295,False,S1:10.61276749;S2:10.24129642;S3:9.712575168,C1:9.627077301;C2:10.21866289;C3:9.362805767,0.4526977081158492,0.3636380595837572,3.9959709776523664,0.95,-0.557324997074885,1.4627204133065834,4,20,0.2
panel,author_selected_isg7,pseudobulk_log2cpm,7,Irf7;Ifitm3;Isg15;Mx1;Ifit1;Ifit2;Ifit3,3,3,3.3745643912840535,2.3059907159608053,1.3247486233261767,False,S1:3.099584702;S2:2.410942523;S3:4.613165949,C1:2.238628703;C2:2.170192889;C3:2.509150556,1.0685736753232482,0.6586055173095162,2.1011875572663063,0.95,-1.6383376896954451,3.7754850403419415,4,20,0.2
