outcome_type,outcome,metric,dropped_animal,dropped_source_group,n_exposed,n_control,exposed_mean,control_mean,cohens_d_point_estimate,mean_difference,welch_se,welch_df,ci_level,mean_difference_ci_low,mean_difference_ci_high,sign_matches_full
gene,Irf7,pseudobulk_log2cpm,C1,Control,3,2,3.675359940742555,2.537893846407953,0.9277180675203801,1.1374660943346018,0.8710111644437213,2.055816116607379,0.95,-2.5143550777479016,4.789287266417105,True
gene,Irf7,pseudobulk_log2cpm,C2,Control,3,2,3.675359940742555,2.4846871285103536,0.9728585614751509,1.1906728122322012,0.8663591075960074,2.012999138177146,0.95,-2.5139966996549727,4.895342324119375,True
gene,Irf7,pseudobulk_log2cpm,C3,Control,3,2,3.675359940742555,2.5872427881311486,0.8889855293319656,1.0881171526114062,0.8665874105332859,2.0151068370228966,0.95,-2.6138483599742877,4.7900826651971,True
gene,Irf7,pseudobulk_log2cpm,S1,Surgery,2,3,3.7935146970174394,2.536607921016485,1.0347875294432796,1.2569067760009545,1.485279185164342,1.0031862510212173,0.95,-17.4742959579911,19.988109509993006,True
gene,Irf7,pseudobulk_log2cpm,S2,Surgery,2,3,4.358331536141382,2.536607921016485,2.412085141412604,1.8217236151248968,0.9211868956996346,1.0083096512054655,0.95,-9.657560606685562,13.301007836935357,True
gene,Irf7,pseudobulk_log2cpm,S3,Surgery,2,3,2.8742335890688437,2.536607921016485,0.7203218113382841,0.33762566805235883,0.5679133764364876,1.022048720161846,0.95,-6.520727648567341,7.19597898467206,True
gene,Ifitm3,pseudobulk_log2cpm,C1,Control,3,2,5.352391577871177,4.780651072287444,0.3833433910311976,0.5717405055837324,1.07608080195069,2.242006579417512,0.95,-3.610819401485311,4.754300412652776,True
gene,Ifitm3,pseudobulk_log2cpm,C2,Control,3,2,5.352391577871177,4.163706322658675,0.7902194399792861,1.1886852552125013,1.102460389137373,2.4247175474569755,0.95,-2.841166083012679,5.2185365934376815,True
gene,Ifitm3,pseudobulk_log2cpm,C3,Control,3,2,5.352391577871177,4.425603199971324,0.5942334510614672,0.9267883778998529,1.212427623437881,2.927080741807771,0.95,-2.986649999819606,4.840226755619312,True
gene,Ifitm3,pseudobulk_log2cpm,S1,Surgery,2,3,5.681122114387488,4.456653531639148,0.8221303143666483,1.2244685827483401,1.7526340713781206,1.0877097337459254,0.95,-17.21902758427445,19.66796474977113,True
gene,Ifitm3,pseudobulk_log2cpm,S2,Surgery,2,3,6.045914480796664,4.456653531639148,1.309710584809803,1.5892609491575156,1.3974961303788176,1.1421882014439808,0.95,-11.708651755602524,14.887173653917554,True
gene,Ifitm3,pseudobulk_log2cpm,S3,Surgery,2,3,4.330138138429377,4.456653531639148,-0.21558443597942273,-0.1265153932097709,0.5107946766740913,2.630417468495576,0.95,-1.8892610343802745,1.6362302479607327,False
gene,Isg15,pseudobulk_log2cpm,C1,Control,3,2,5.0141974053752465,4.632853790005088,0.41799362145547575,0.3813436153701586,0.6452396509880503,2.0024655004589067,0.95,-2.3916254702909088,3.154312701031226,True
gene,Isg15,pseudobulk_log2cpm,C2,Control,3,2,5.0141974053752465,4.296057560956786,0.7506979735789867,0.7181398444184603,0.7352242722748181,2.8631604570801428,0.95,-1.6862247912197543,3.122504480056675,True
gene,Isg15,pseudobulk_log2cpm,C3,Control,3,2,5.0141974053752465,4.280040719758496,0.7705472902450394,0.7341566856167505,0.727673943402102,2.8199582787135364,0.95,-1.6675588242573456,3.1358721954908466,True
gene,Isg15,pseudobulk_log2cpm,S1,Surgery,2,3,5.280672612139375,4.402984023573457,0.9837552261918556,0.8776885885659178,1.0431354270382787,1.1034231460127957,0.95,-9.773005242011099,11.528382419142932,True
gene,Isg15,pseudobulk_log2cpm,S2,Surgery,2,3,5.3896851445297225,4.402984023573457,1.218219629805316,0.9867011209562655,0.9371155210731851,1.1300531478897673,0.95,-8.12394822777898,10.097350469691511,True
gene,Isg15,pseudobulk_log2cpm,S3,Surgery,2,3,4.372234459456644,4.402984023573457,-0.09116286373505819,-0.030749564116812955,0.2545768151360469,2.724281005983782,0.95,-0.8893481831626807,0.8278490549290548,False
gene,Mx1,pseudobulk_log2cpm,C1,Control,3,2,1.9623693807156488,0.5763736786070291,2.0123643546804026,1.3859957021086196,0.6366831654917914,2.1804411547334683,0.95,-1.1472534406058492,3.9192448448230883,True
