control_gene_order,control_gene,matrix_feature_index_1based,expression_bin,mean_log1p_normalized_expression,fixed_configuration,interpretation_limit
1,1700037C18Rik,23762,17,0.05067750431113061,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
2,1700037H04Rik,3302,16,0.030937150316829677,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
3,1700049G17Rik,12220,15,0.021976630863349614,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
4,2700049A03Rik,22397,17,0.055012809681999134,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
5,4930430F08Rik,14954,17,0.057972642140122606,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
6,9130023H24Rik,13805,16,0.02581253020706146,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
7,9330020H09Rik,23573,15,0.0180055822450842,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
8,A430005L14Rik,8196,20,0.18268697508606363,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
9,AI606181,27640,16,0.031039225426025555,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
10,Aasdhppt,17588,19,0.13888965897022537,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
11,Alad,7053,17,0.06333467294364105,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
