gene,symbol,baseMean,log2FoldChange,lfcSE,ci95_low,ci95_high,stat,pvalue,padj
ENSMUSG00000036181,H1f2,1611.9406110469383,-1.1563935181825618,0.15364049404974303,-1.4575288865200582,-0.8552581498450654,-7.526619367731041,5.2070877238351116e-14,2.0465290656678245e-10
ENSMUSG00000061808,Ttr,2762.534286319846,-4.477331211209134,0.5966285198311425,-5.646723110078174,-3.307939312340095,-7.504386837686382,6.17167993265327e-14,2.0465290656678245e-10
ENSMUSG00000026051,Ecrg4,36.179169512184096,-3.3812784827153686,0.5580466403691856,-4.475049897838972,-2.287507067591765,-6.059132405991055,1.368577053616697e-9,NA
ENSMUSG00000073412,Lst1,1485.059605616486,-0.9527197242943776,0.16297131970346773,-1.2721435109131742,-0.6332959376755809,-5.845934892273597,5.037310546565898e-9,1.1135814514941677e-5
ENSMUSG00000038151,Prdm1,196.54693805974793,-1.2697000101909717,0.22356861080125656,-1.7078944873614346,-0.8315055330205088,-5.67924095265629,1.3529377990406766e-8,2.2431708708094417e-5
ENSMUSG00000073640,Rpl27-ps3,153.76602007327094,-1.102972783057002,0.20281101220801473,-1.500482366984711,-0.7054631991292931,-5.438426498881279,5.375317633846155e-8,7.12982130953354e-5
ENSMUSG00000099974,Bcl2a1d,857.1339927321728,-1.3369222546456652,0.25687183276136566,-1.8403910468579419,-0.8334534624333885,-5.204627694184236,1.9438592226087057e-7,2.1486123940568226e-4
ENSMUSG00000019850,Tnfaip3,3951.1993216327446,-0.617612789603014,0.12587314506440328,-0.8643241539292444,-0.3709014252767836,-4.906628727573392,9.265518552198109e-7,8.778417005453979e-4
ENSMUSG00000019122,Ccl9,1131.6512155829666,-0.7902290463133097,0.16473935212294336,-1.1131181764742788,-0.4673399161523407,-4.796844446271523,1.6118467403983652e-6,0.0013362209477902447
ENSMUSG00000001403,Ube2c,17.760404322040667,-4.406792015876581,0.9248673240151645,-6.219531970946304,-2.5940520608068587,-4.764782906098568,1.8905708908348262e-6,NA
ENSMUSG00000015090,Ptgds,748.995119148266,1.216343864543173,0.2553344023985745,0.7158884358419669,1.716799293244379,4.7637288713037265,1.9004782574700358e-6,0.0014004413115045863
ENSMUSG00000028793,Rnf19b,2500.1614363939016,-0.5350322668469164,0.11657092941048704,-0.763511288491471,-0.3065532452023618,-4.589757236668162,4.437618143835029e-6,0.002943028352991391
ENSMUSG00000023034,Nr4a1,4040.42258963595,-0.6766705146717923,0.14854075197590882,-0.9678103885445736,-0.385530640799011,-4.5554536763186615,5.227263486294436e-6,0.0031515646764640635
ENSMUSG00000034855,Cxcl10,1526.6845354439604,-0.7542427944304863,0.1693937035284893,-1.0862544533463252,-0.42223113551464725,-4.452602302916382,8.483579774845029e-6,0.004688591755564352
ENSMUSG00000032487,Ptgs2,216.46772548618662,-1.5613203087473053,0.35283869734613654,-2.252884155545733,-0.8697564619488777,-4.425025714273177,9.643079609961402e-6,0.0049194541517895395
ENSMUSG00000046223,Plaur,558.2458610473453,-0.6982984381536367,0.1607556800780706,-1.013379571106655,-0.3832173052006183,-4.343849236397182,1.4000761767209606e-5,0.006632360860009579
ENSMUSG00000034854,Mfsd12,190.02132832646694,0.821045709260496,0.18989822325087943,0.44884519168877235,1.1932462268322197,4.323609221850335,1.534970899648769e-5,0.006786618004313758
ENSMUSG00000028341,Nr4a3,90.54724114690264,-1.4684498530052867,0.3411196060637773,-2.13704428089029,-0.7998554251202833,-4.304794643585331,1.6714070467507764e-5,NA
ENSMUSG00000040667,Nup88,489.76245860033487,-0.6836639372856198,0.1606469829344111,-0.9985320238370656,-0.36879585073417404,-4.255691111016668,2.0840426246679714e-5,0.00863835667924874
ENSMUSG00000030165,Klrd1,31.969560670610658,-2.40055308747176,0.5646009438346988,-3.5071709373877695,-1.2939352375557502,-4.251769526220598,2.120880631665466e-5,NA
ENSMUSG00000050621,Rps27rt,1071.6023742809643,-0.6634845629188079,0.15803598597225318,-0.9732350954244241,-0.3537340304131916,-4.198313180615064,2.689105662178012e-5,0.010076208734642754
ENSMUSG00000053560,Ier2,16762.91445465193,0.6506005497927801,0.15510818144246266,0.34658851416555336,0.9546125854200069,4.194495375694417,2.7347973043360913e-5,0.010076208734642754
ENSMUSG00000005360,Slc1a3,1468.7935366188865,-0.6121664910157709,0.1503055901395429,-0.906765447689275,-0.31756753434226687,-4.072812531107052,4.64488102819641e-5,0.01519317072561254
ENSMUSG00000054404,Slfn5,34.74100577916759,2.5636619579810005,0.630381445494404,1.3281143248119687,3.7992095911500323,4.066842348080752,4.7654457979119954e-5,NA
ENSMUSG00000097417,NA,713.217518509884,-0.7744700345135884,0.19045462475509822,-1.147761099033581,-0.4011789699935959,-4.066428082329131,4.773920840155091e-5,0.01519317072561254
ENSMUSG00000051495,Irf2bp2,2702.1166875873246,-0.6604864794109394,0.16249607649724257,-0.9789787893455348,-0.341994169476344,-4.064630319995125,4.810865278013621e-5,0.01519317072561254
ENSMUSG00000026786,Apbb1ip,2882.0311618635133,0.4492054755482896,0.11137136701264258,0.23091759620351016,0.667493354893069,4.03340183026843,5.49751532384564e-5,0.01597496627641708
ENSMUSG00000013663,Pten,1425.4430686214862,-0.5261899623313046,0.13069774700249062,-0.7823575464561862,-0.27002237820642294,-4.0260063727133515,5.673215190027089e-5,0.01597496627641708
ENSMUSG00000033307,Mif,1381.3156798655239,-0.556482091884695,0.13837419511154822,-0.8276955143033295,-0.2852686694660605,-4.021574191893912,5.781049315953105e-5,0.01597496627641708
ENSMUSG00000043953,Ccrl2,2731.0054627941004,-0.6482011007167783,0.16193913641875723,-0.9656018080975424,-0.33080039333601413,-4.0027451982984505,6.26117230787243e-5,0.01660963789832398
ENSMUSG00000027962,Vcam1,251.85555553202119,-0.8463272358504813,0.21566627335606922,-1.269033131628377,-0.4236213400725856,-3.9242447262636126,8.70022585509123e-5,0.021553569031567087
ENSMUSG00000022548,Apod,277.0474728871906,1.0279957208804553,0.2620974699065677,0.5142846798635827,1.541706761897328,3.9221886470209517,8.77482454542086e-5,0.021553569031567087
ENSMUSG00000018102,H2bc4,1266.6354896983307,-0.9022788924360602,0.23224219010596994,-1.3574735850437611,-0.4470841998283591,-3.8850774358627893,1.022972773349154e-4,0.023160283501528187
ENSMUSG00000015396,Cd83,16764.72172577384,-0.6174925591820191,0.15894081532214246,-0.9290165572134184,-0.3059685611506198,-3.8850471348752076,1.0231003700920526e-4,0.023160283501528187
ENSMUSG00000040479,Dgkz,477.0895793796896,0.6036200194865523,0.1556010400967688,0.29864198089688543,0.9085980580762192,3.8792801070684293,1.0476605926505514e-4,0.023160283501528187
ENSMUSG00000001627,Ifrd1,3185.2091236915057,-0.5672021060868656,0.14656977838365323,-0.8544788717188259,-0.2799253404549053,-3.8698435130480147,1.0890523395831574e-4,0.023298693922953223
ENSMUSG00000096768,NA,1154.1434706295793,0.805399082558633,0.20957698636753522,0.394628189278264,1.216169975839002,3.8429748252329787,1.2155194131215371e-4,0.025191639836943856
ENSMUSG00000089929,Bcl2a1b,8542.80870244306,-0.8789976683286211,0.22919935438694328,-1.32822840292703,-0.42976693373021235,-3.8350791636378827,1.2552385860351142e-4,0.02522649182601478
ENSMUSG00000038037,Socs1,176.63441466086192,0.9145731785552853,0.24148661311401207,0.4412594168518217,1.387886940258749,3.787262435634441,1.5231619931774755e-4,0.028987113356230013
ENSMUSG00000042688,Mapk6,274.13101403763545,-0.6939957543043482,0.18329684433192953,-1.0532575691949302,-0.3347339394137664,-3.7861849549771933,1.529778298353514e-4,0.028987113356230013
ENSMUSG00000005667,Mthfd2,182.8856505477244,1.0196092741023906,0.2718851971109847,0.4867142877648606,1.5525042604399206,3.75014632990917,1.7673140812070383e-4,0.032557852740458554
ENSMUSG00000086290,Snhg12,1101.6014262649053,0.8159352028904695,0.21817900995161854,0.3883043433852972,1.243566062395642,3.7397511477910004,1.8420252483585935e-4,0.03277489813802816
ENSMUSG00000003308,Keap1,313.90332825394484,0.6180609554902172,0.16548281496575704,0.29371463815733345,0.942407272823101,3.7348951044742082,1.8779344530233267e-4,0.03277489813802816
ENSMUSG00000001827,Folr1,7.513845642153858,-3.7636308766245543,1.0207120386202013,-5.764226472320149,-1.7630352809289596,-3.6872602009399547,2.266815386638935e-4,NA
ENSMUSG00000039361,Picalm,4861.582524299411,-0.5900184848086947,0.16038078505631234,-0.9043648235190669,-0.27567214609832247,-3.678860186409048,2.3427865015098815e-4,0.039839384815419314
ENSMUSG00000060143,NA,935.3742886418632,-0.7128050201619842,0.19648661339334483,-1.0979187824129402,-0.3276912579110283,-3.627753605458231,2.858979012666716e-4,0.047401872030014156
ENSMUSG00000034936,Arl4d,242.8966193300057,0.7657885298364256,0.21306800261391542,0.3481752447131514,1.1834018149596999,3.5941038562418672,3.255099869505271e-4,0.05183959078433902
ENSMUSG00000003545,Fosb,5793.274761131783,-0.6431864964910341,0.17906663433548817,-0.9941570997885909,-0.2922158931934773,-3.5918835403249925,3.2829656407452337e-4,0.05183959078433902
ENSMUSG00000049124,NA,104.01261203450905,-0.8484689768001946,0.23635605537230828,-1.311726845329919,-0.3852111082704704,-3.5897915772188935,3.309424655210235e-4,NA
ENSMUSG00000035299,Mid1,196.00542702856444,1.0462564507629835,0.2919884561107795,0.4739590767858557,1.6185538247401112,3.5832116950748114,3.3939532824055e-4,0.052345809695147155
ENSMUSG00000058488,Kl,6.529333745640656,-4.598083895203429,1.2868988340723064,-7.120405609985149,-2.075762180421708,-3.572995618197194,3.5292066883907565e-4,NA
ENSMUSG00000097060,NA,53.10755691670004,-1.3447188957909795,0.3777013117075088,-2.0850134667376965,-0.6044243248442622,-3.5602706533154094,3.7047275554840005e-4,NA
ENSMUSG00000022346,Myc,465.65246996285737,0.5309811571770772,0.15028610740930862,0.23642038665483228,0.8255419276993221,3.53313533985503,4.106621854459848e-4,0.0618979912244948
ENSMUSG00000022747,St3gal6,2669.49819016219,-0.41955727662479775,0.11900018932595333,-0.6527976477036663,-0.18631690554592922,-3.5256857909325565,4.22387784810059e-4,0.06197840207424135
ENSMUSG00000102037,Bcl2a1a,1066.3367815560973,-0.9375664344324084,0.2662767632727095,-1.459468890446919,-0.4156639784178978,-3.521022348736424,4.2988638350649916e-4,0.06197840207424135
ENSMUSG00000097418,Mir155hg,67.28800493254478,-1.3115518145241216,0.3730848806149727,-2.042798180529468,-0.5803054485187752,-3.5154247268402607,4.390512030924557e-4,NA
ENSMUSG00000097180,2700038G22Rik,89.43344993238951,0.8692452169292068,0.2489871324400555,0.381230437346698,1.3572599965117156,3.4911250569885595,4.8099105653814277e-4,NA
ENSMUSG00000092035,Peg10,110.10983597189846,-0.7781916784411362,0.22302442404179615,-1.2153195495630567,-0.3410638073192158,-3.4892666208401386,4.843477868949348e-4,NA
