symbol,sample,gene_umi,group,total_retained_umi,log2_cpm
Irf7,C1,46,Control,8028456,2.5340360702335487
Ifitm3,C1,112,Control,8028456,3.8086584503425547
Isg15,C1,123,Control,8028456,3.943244490710195
Mx1,C1,12,Control,8028456,0.6387334489002422
Ifit1,C1,10,Control,8028456,0.3871946819042778
Ifit2,C1,20,Control,8028456,1.352429263743601
Ifit3,C1,64,Control,8028456,3.0061045145487717
Irf7,C2,38,Control,6174562,2.640449506028748
Ifitm3,C2,203,Control,6174562,5.042547949600094
Isg15,C2,151,Control,6174562,4.616836948806798
Mx1,C2,6,Control,6174562,0.07410268347493891
Ifit1,C2,4,Control,6174562,-0.45641203322384094
Ifit2,C2,12,Control,6174562,1.0175191551085714
Ifit3,C2,29,Control,6174562,2.256306014695688
Irf7,C3,52,Control,9706204,2.4353381867871584
Ifitm3,C3,222,Control,9706204,4.518754194974796
Isg15,C3,243,Control,9706204,4.648870631203378
Mx1,C3,20,Control,9706204,1.0786446737391193
Ifit1,C3,22,Control,9706204,1.2129457654507105
Ifit2,C3,17,Control,9706204,0.8503756860660021
Ifit3,C3,68,Control,9706204,2.8191247520815623
Irf7,S1,109,Surgery,10096172,3.439050428192785
Ifitm3,S1,261,Surgery,10096172,4.694930504838553
Isg15,S1,225,Surgery,10096172,4.481246991846993
Mx1,S1,36,Surgery,10096172,1.8540879274716289
Ifit1,S1,36,Surgery,10096172,1.8540879274716289
Ifit2,S1,57,Surgery,10096172,2.5097534195359867
Ifit3,S1,73,Surgery,10096172,2.863935713427976
Irf7,S2,59,Surgery,12003647,2.309416749944902
Ifitm3,S2,187,Surgery,12003647,3.965345772020202
Isg15,S2,230,Surgery,12003647,4.263221927066296
Mx1,S2,30,Surgery,12003647,1.3453363241998448
Ifit1,S2,14,Surgery,12003647,0.2725799817645306
Ifit2,S2,45,Surgery,12003647,1.922393626835655
Ifit3,S2,83,Surgery,12003647,2.798303279111011
Irf7,S3,436,Surgery,11252901,5.277612644089977
Ifitm3,S3,1896,Surgery,11252901,7.396898456754775
Isg15,S3,885,Surgery,11252901,6.298123297212452
Mx1,S3,72,Surgery,11252901,2.6876838904754723
Ifit1,S3,103,Surgery,11252901,3.2012617579598626
Ifit2,S3,66,Surgery,11252901,2.563057235961727
Ifit3,S3,328,Surgery,11252901,4.867524360782867
