dropped_animal,n_surgery,n_control,ID,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,core_enrichment,allcell_setSize,allcell_NES,allcell_pvalue,allcell_p_adjust,delta_NES_scrublet_negative_minus_allcell,sign_same,fdr05_same
(none),3,3,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.5125404409507817,2.1714562753577713,1.8959256173347883e-7,3.159876028891314e-6,1.8626637643990906e-6,Irf9/Ifit2/Dhx58/Irf1/Eif2ak2/Ogfr/Rtp4/Usp18/Cmpk2/Tap1/Stat2/Irf7/Rnf31/Parp14/Oas1a/Trim14/Cnp/Mov10/Rsad2/Lgals3bp/Adar/Trim21/Sp110/Oasl1/Gmpr/Tmem140/Trim12c/Trafd1/Ifitm3/Ifit3/Psme2/Il4ra/Parp9/Ifi35/Herc6/Isg15/Ifi30/Ifitm1/Uba7/Trim25/Lpar6/Ripk2/Ifih1/Psme1/Batf2/Bst2/Isg20/Helz2/Wars1/Slc25a28/Parp12,86,2.2125531313154747,1.5070298852707767e-7,3.5578377410064375e-6,-0.041096855957703404,TRUE,TRUE
(none),3,3,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.3336662389259684,1.5803088067385394,0.0011247431649995126,0.004686429854164636,0.002762527071928628,Socs1/Mthfd2/Irf9/Ifit2/Dhx58/Irf1/Ptpn6/Eif2ak2/Pla2g4a/Rapgef6/Mvp/Ogfr/Rtp4/Usp18/Cmpk2/Tap1/Stat2/Tor1b/Irf7/Rnf31/Parp14/Znfx1/Xaf1/Trim14/Rsad2/Lgals3bp/Adar/Trim21/Sp110/Oasl1/Irf8/Pml/Stat1/Trafd1/Zbp1/Ifitm3/Ifit3/Rnf213/Socs3/Psme2/Il4ra,165,1.5666702727671056,0.00169608208792806,0.00652339264587716,0.013638533971433775,TRUE,TRUE
(none),3,3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5275081839562835,-2.470813545455537,6.3430643581081255e-15,3.171532179054063e-13,1.8695347581792372e-13,Zbtb10/Tgif1/Nr4a2/Rcan1/Abca1/Marcks/Litaf/Cflar/Btg1/Ninj1/Maff/Ehd1/Mcl1/Nfkbie/Plek/Btg3/Areg/Fosl2/Bcl6/Sdc4/Eif1/Gem/Sat1/Nfkb1/Vegfa/Klf4/Rel/Irs2/Dennd5a/Trib1/Tnfaip2/Gch1/Il1a/Cd44/Nfil3/Cebpb/Ets2/Pde4b/Il6/B4galt1/Kdm6b/Ccl5/Plau/Id2/Csf1/Fosb/Cd83/Ccrl2/Nr4a3/Plaur/Ptgs2/Cxcl10/Nr4a1/Rnf19b/Tnfaip3/Bcl2a1d,176,-2.496471789740173,4.1434132195283135e-15,2.071706609764157e-13,0.025658244284636034,TRUE,TRUE
(none),3,3,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.4061908602768037,-1.8461972784026033,1.3480866927828124e-5,1.3480866927828125e-4,7.946616294298684e-5,Sri/Ccl7/Gpr183/F3/Emp3/Osm/P2ry2/Ptger4/Tnfrsf1b/Edn1/Ccl24/Ebi3/Serpine1/Rela/Pvr/Il18/Cd82/Calcrl/Cxcl9/Lyn/Abca1/Ahr/Gpr132/Clec5a/Cybb/Rgs1/Nfkb1/Tpbg/Ptafr/Gch1/Il1a/Nlrp3/Pde4b/Il6/Ccl5/Dcbld2/Itga5/Cd14/Csf1/Ccrl2/Plaur/Cxcl10,145,-1.7866049673279405,6.384376985151415e-5,3.9902356157196344e-4,-0.059592311074662785,TRUE,TRUE
C1,3,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.4364731551020439,1.855010603575664,1.2457781039512648e-4,8.1379954118411e-4,4.625807918309679e-4,Irf1/Ifit2/Irf9/Dhx58/Eif2ak2/Ogfr/Tmem140/Usp18/Rsad2/Cmpk2/Rtp4/Rnf31/Oasl1/Mov10/Stat2/Adar/Parp14/Irf7/Tap1/Cnp/Sp110/Ifit3/Trafd1/Oas1a/Batf2/Psme2/Trim12c/Gmpr/Lgals3bp/Parp9/Uba7/Herc6/Trim14/Tent5a/Ifitm3/Slc25a28/Ifi35,86,1.912473782185672,3.549169567717331e-5,2.940955847599451e-4,-0.05746317861000816,TRUE,TRUE
C1,3,2,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.26882881704986494,1.2780907877950285,0.038730307503831204,0.09569444485848043,0.05439473707745204,Socs1/Mthfd2/Irf1/Ifit2/Irf9/Dhx58/Eif2ak2/Ogfr/Rapgef6/Ptpn6/Mvp/Usp18/Rsad2/Cmpk2/Rtp4/Rnf31/Oasl1/Pla2g4a/Tor1b/Stat2/Adar/Parp14/Irf7/Pml/Znfx1/Tap1/Sp110/Ifit3/Trafd1/Xaf1/Batf2/Stat1/Psme2/Lgals3bp/Rnf213/Herc6/Trim14/St3gal5/Nod1/Ifitm3/Zbp1/P2ry14/Slc25a28/Bank1/Irf8/Ifi35/Il18bp/Ripk1/Cmklr1,165,1.3185766776123615,0.02380117963063488,0.06611438786287469,-0.04048588981733303,TRUE,TRUE
C1,3,2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,176,-0.5447332581727484,-2.5614701571565917,1.3496381664482745e-16,6.748190832241373e-15,3.835813736221413e-15,F3/Fosl1/Zbtb10/Marcks/Cd80/Tnfaip8/Cflar/Tgif1/Btg3/Ptger4/Cd69/Abca1/Il18/Gem/Litaf/Nr4a2/Klf4/Areg/Rcan1/Nfkbie/Sat1/Irs2/Eif1/Btg1/Bcl6/Fosl2/Maff/Rel/Ninj1/Nfkb1/Ehd1/Dennd5a/Mcl1/Trib1/Ccl5/Il6/Tnfaip2/Vegfa/Il1a/Cd44/Sdc4/Kdm6b/Ets2/Plek/Plau/Cebpb/B4galt1/Pde4b/Gch1/Id2/Fosb/Nfil3/Csf1/Cxcl10/Ccrl2/Cd83/Nr4a1/Plaur/Rnf19b/Ptgs2/Tnfaip3/Bcl2a1d/Nr4a3,176,-2.576134091544527,6.110200059426304e-16,3.0551000297131525e-14,0.014663934387935562,TRUE,TRUE
C1,3,2,HALLMARK_INFLAMMATORY_RESPONSE,145,-0.43787768398112015,-2.0047403333215,3.874745041294507e-7,6.457908402157513e-6,3.6708110917526914e-6,C3ar1/Cd40/Edn1/Lcp2/Gpr183/Rasgrp1/Tnfsf9/Mefv/Rela/Chst2/Scarf1/Tnfrsf1b/Ebi3/Cd48/Cd82/Il1b/Osm/Lyn/F3/Pvr/Cxcl9/Sri/Ccl24/Ptger4/Cd69/P2ry2/Abca1/Il18/Calcrl/Rgs1/Ahr/Ccl7/Tpbg/Gpr132/Clec5a/Nfkb1/Ccl5/Il6/Ptafr/Il1a/Cybb/Pde4b/Itga5/Nlrp3/Gch1/Dcbld2/Csf1/Cxcl10/Cd14/Ccrl2/Plaur,145,-2.0227354394997867,2.4166330995799616e-7,4.02772183263327e-6,0.01799510617828659,TRUE,TRUE
C2,3,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,0.554867763137456,2.3010913870387766,1.3251781719567235e-8,3.3129454298918086e-7,2.1621328068767594e-7,Irf9/Ifit2/Dhx58/Ifitm2/Ifitm1/Cmpk2/Eif2ak2/Tap1/Il4ra/Irf1/Rtp4/Ifi30/Trim14/Stat2/Usp18/Oas1a/Ogfr/Irf7/Trim25/Ripk2/Rnf31/Lgals3bp/Parp14/Ifitm3/Sp110/Trim12c/Trim21/Psme2/Rsad2/Ifi35/Psme1/Gmpr/Adar/Helz2/Wars1/Ifi27/Trafd1/Bst2/Parp12/Mov10/Isg15/Parp9/Cnp/Oasl1/Isg20/Ifit3/Ly6e/Samd9l/Herc6/Tmem140/Ddx60/Pnpt1,86,2.2526132872990376,5.5791668547774706e-8,1.3947917136943676e-6,0.048478099739738933,TRUE,TRUE
C2,3,2,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,0.40624401289956147,1.8637938210105967,2.5326285812091603e-6,3.498273810331342e-5,2.2830839604267706e-5,Pla2g4a/Mthfd2/Socs1/Irf9/Socs3/Ifit2/Dhx58/Ifitm2/Cmpk2/Fgl2/Ptpn6/Eif2ak2/Tap1/Il4ra/Irf1/Rtp4/Mvp/Rapgef6/Ifi30/Trim14/Stat2/Usp18/Zbp1/Ogfr/Irf7/Trim25/Ripk2/Rnf31/Lgals3bp/Parp14/Ifitm3/Xaf1/Sp110/Znfx1/Tor1b/Trim21/Irf8/Psme2/Pml/Il18bp/Rnf213/Stat1/Rsad2/Ifi35/Psme1/Itgb7/Adar/Il15ra/Helz2/Wars1/Ifi27/Trafd1/Bst2/P2ry14/Parp12/Isg15/Oasl1/Isg20/Ifit3/Cmklr1/Ly6e/Eif4e3/Samd9l/Stat3/H2-DMa/Myd88/Ptpn1/Herc6,165,1.7927978598979764,1.4174453802454612e-5,1.4174453802454613e-4,0.0709959611126203,TRUE,TRUE
