partition,submitted_trace_label,animal_library,exposure_group,n_cells,non_rare_denominator,percent_of_animal
0,Inflammatory,C1,Oxygen control,176,1134,15.520282186948853
0,Inflammatory,C2,Oxygen control,323,915,35.30054644808743
0,Inflammatory,C3,Oxygen control,210,1271,16.522423288749017
0,Inflammatory,S1,Combined exposure,254,1301,19.523443504996155
0,Inflammatory,S2,Combined exposure,208,1599,13.008130081300813
0,Inflammatory,S3,Combined exposure,479,1147,41.76111595466434
1,Transitional-A,C1,Oxygen control,205,1134,18.077601410934744
1,Transitional-A,C2,Oxygen control,102,915,11.147540983606557
1,Transitional-A,C3,Oxygen control,192,1271,15.106215578284814
1,Transitional-A,S1,Combined exposure,287,1301,22.059953881629514
1,Transitional-A,S2,Combined exposure,455,1599,28.45528455284553
1,Transitional-A,S3,Combined exposure,140,1147,12.205754141238012
2,Homeostatic-A,C1,Oxygen control,206,1134,18.1657848324515
2,Homeostatic-A,C2,Oxygen control,207,915,22.62295081967213
2,Homeostatic-A,C3,Oxygen control,228,1271,17.938630999213217
2,Homeostatic-A,S1,Combined exposure,263,1301,20.2152190622598
2,Homeostatic-A,S2,Combined exposure,99,1599,6.191369606003752
2,Homeostatic-A,S3,Combined exposure,282,1147,24.585876198779424
3,Homeostatic-B,C1,Oxygen control,206,1134,18.1657848324515
3,Homeostatic-B,C2,Oxygen control,98,915,10.710382513661202
3,Homeostatic-B,C3,Oxygen control,258,1271,20.298977183320222
3,Homeostatic-B,S1,Combined exposure,257,1301,19.754035357417372
3,Homeostatic-B,S2,Combined exposure,275,1599,17.19824890556598
3,Homeostatic-B,S3,Combined exposure,130,1147,11.333914559721011
4,Homeostatic-C,C1,Oxygen control,252,1134,22.22222222222222
4,Homeostatic-C,C2,Oxygen control,92,915,10.05464480874317
4,Homeostatic-C,C3,Oxygen control,249,1271,19.59087332808812
4,Homeostatic-C,S1,Combined exposure,167,1301,12.836279784780938
4,Homeostatic-C,S2,Combined exposure,432,1599,27.01688555347092
4,Homeostatic-C,S3,Combined exposure,17,1147,1.4821272885789014
5,Transitional-B,C1,Oxygen control,89,1134,7.848324514991182
5,Transitional-B,C2,Oxygen control,93,915,10.163934426229508
5,Transitional-B,C3,Oxygen control,134,1271,10.54287962234461
5,Transitional-B,S1,Combined exposure,73,1301,5.611068408916219
5,Transitional-B,S2,Combined exposure,130,1599,8.130081300813009
5,Transitional-B,S3,Combined exposure,99,1147,8.63121185701831
