"analysis_id","format","rendered_sha256","frozen_sha256","identical"
"figure1","TIFF","04bf27e69a8ca6dd605104a0517f6df642c21ac08f118152bf28788207f285ab","04bf27e69a8ca6dd605104a0517f6df642c21ac08f118152bf28788207f285ab",TRUE
"figure1","PNG","67b500c08140b08c54fa552b93ccceeffcf9b2db7e6960f8ced46fd5e2576152","b94ed7689e78f96b997f87deb596060691cab714fdf1cebf42e6b2bc0da3844b",FALSE
"figure2","TIFF","d9e7b3039508815a0592984e4a03addcd30afacb1c55fa58409749660bd7fc08","d9e7b3039508815a0592984e4a03addcd30afacb1c55fa58409749660bd7fc08",TRUE
"figure2","PNG","59105808051119821983544c26069b3031f1e2096bdf87045a359f608e2dc0ec","59105808051119821983544c26069b3031f1e2096bdf87045a359f608e2dc0ec",TRUE
"figure3","TIFF","adab406600faed4f7096ee41b558b932b8e4297f36610acbc858f47167b367a7","adab406600faed4f7096ee41b558b932b8e4297f36610acbc858f47167b367a7",TRUE
"figure3","PNG","bfb9a7b7c42ad673cf393e844268a9dcb6879097d8e9c6071b3228748e725829","bfb9a7b7c42ad673cf393e844268a9dcb6879097d8e9c6071b3228748e725829",TRUE
"figure4","TIFF","df1182b2e7e3a6ab819a35690256bd517a2e15a1c9feef26c31c82ebc774a208","df1182b2e7e3a6ab819a35690256bd517a2e15a1c9feef26c31c82ebc774a208",TRUE
"figure4","PNG","a48562b841daf82ee10921027b314a646a178bf09d4f0112e94d1aaceadb9039","a48562b841daf82ee10921027b314a646a178bf09d4f0112e94d1aaceadb9039",TRUE
"figureS1","TIFF","ba0131a222b88edf1b2734f468bf461112c630f37f0d3909147ac12cbaded1f4","ba0131a222b88edf1b2734f468bf461112c630f37f0d3909147ac12cbaded1f4",TRUE
"figureS1","PNG","be30472be5997510c2cf1a7df99f84e2126314311829b424d9230e0c3484e4ec","be30472be5997510c2cf1a7df99f84e2126314311829b424d9230e0c3484e4ec",TRUE
"figureS2","TIFF","c8e1ac0576f751c94054d5aced173697d1d7b8bc4b37a4b7cda6b7884ccdc463","c8e1ac0576f751c94054d5aced173697d1d7b8bc4b37a4b7cda6b7884ccdc463",TRUE
"figureS2","PNG","980a8e3e605558770fc2e794b8b856e183384be6cc8d5bf5275ed2f760e80e96","980a8e3e605558770fc2e794b8b856e183384be6cc8d5bf5275ed2f760e80e96",TRUE
"figureS3","TIFF","a7135f3ed0023af0a905065b0837adde053e2ee73f1a1a0dd2f0a2949c63ba1f","a7135f3ed0023af0a905065b0837adde053e2ee73f1a1a0dd2f0a2949c63ba1f",TRUE
"figureS3","PNG","c39f551f2f42827218b371b299323ab25f909f12aa3e92d87a894aa1b2d014db","1171656ce1a3ee9d8da0db8ab751486ac1e2564663a58c137839b2adacd31fc0",FALSE
